,Color,satisfaction_levels,items,cost
147,yellow,high,1147,92625.24
148,black,low,1148,170928.04
149,red,low,1149,170625.45
150,black,medium,1150,116566.21
151,yellow,high,1151,157731.14
152,yellow,low,1152,110318.79
153,black,low,1153,170882.02
154,blue,low,1154,108561.27
155,yellow,high,1155,22204.79
156,red,medium,1156,106855.95
157,red,medium,1157,176410.72
158,red,high,1158,96339.04
159,blue,medium,1159,161301.12
160,red,high,1160,11225.55
161,black,high,1161,190214.34
162,blue,low,1162,155611.45
163,yellow,high,1163,32416.76
164,blue,low,1164,138850.47
165,red,low,1165,38401.42
166,red,low,1166,163504.72
167,black,medium,1167,23344.5
168,yellow,medium,1168,46668.9
169,yellow,medium,1169,113920.99
170,blue,high,1170,82401.47
171,red,high,1171,77543.05
172,red,low,1172,76249.95
173,blue,medium,1173,23506.76
174,green,low,1174,39911.91
175,red,medium,1175,86494.81
176,yellow,medium,1176,104328.69
177,blue,medium,1177,17149.19
178,blue,medium,1178,177819.87
179,black,high,1179,104277.62
180,red,low,1180,14525.31
181,red,high,1181,114103.23
182,yellow,high,1182,146977.36
183,green,low,1183,66100.88
184,yellow,high,1184,165452.57
185,green,medium,1185,158020.93
186,black,high,1186,178268.86
187,yellow,low,1187,118207.08
188,yellow,medium,1188,80326.13
189,red,low,1189,73983.16
190,yellow,medium,1190,14835.94
191,red,medium,1191,12087.52
192,black,high,1192,18565.06
193,green,high,1193,64033.91
194,yellow,high,1194,158763.42
195,black,medium,1195,26740.73
196,red,high,1196,79548.83
197,green,medium,1197,107373.7
198,yellow,high,1198,69206.15
199,yellow,high,1199,59777.42
200,blue,low,1200,54312.26
201,yellow,high,1201,179182.98
202,black,low,1202,63654.93
203,yellow,medium,1203,114324.94
204,yellow,low,1204,43479.51
205,blue,medium,1205,107259.27
206,blue,high,1206,167068.51
207,blue,low,1207,68217.71
208,yellow,medium,1208,14334.18
209,green,high,1209,110373.04
210,green,low,1210,158175.89
211,black,medium,1211,171497.86
212,yellow,medium,1212,127210.05
213,blue,low,1213,71061.27
214,green,medium,1214,148934.66
215,yellow,high,1215,198501.98
216,blue,low,1216,109818.75
217,black,high,1217,19778.91
218,green,medium,1218,177103.99
219,green,low,1219,101455.9
220,red,low,1220,18427.32
221,blue,high,1221,162895.28
222,red,medium,1222,88534.29
223,black,low,1223,121622.08
224,red,low,1224,41042.68
225,yellow,medium,1225,97041.86
226,green,low,1226,55710.65
227,red,medium,1227,66564.64
228,red,medium,1228,17296.46
229,blue,low,1229,196828.34
230,blue,medium,1230,93903.92
231,red,high,1231,181738.8
232,yellow,low,1232,70601.45
233,red,medium,1233,128377.39
234,yellow,medium,1234,106206.88
235,red,high,1235,196160.3
236,black,high,1236,66051.9
237,black,high,1237,183278.86
238,red,medium,1238,193116.3
239,blue,low,1239,159799.26
240,yellow,high,1240,91340.66
241,black,low,1241,168494.64
242,yellow,medium,1242,58361.08
243,green,low,1243,145541.13
244,blue,high,1244,149305.24
245,blue,high,1245,119586.29
246,green,high,1246,195286.1
247,blue,medium,1247,70687.25
248,black,low,1248,85056.88
249,green,low,1249,41316.07
250,black,low,1250,145271.21
251,black,medium,1251,137948.32
252,green,low,1252,41325.82
253,yellow,medium,1253,21532.92
254,yellow,medium,1254,169514.27
255,blue,high,1255,159283.6
256,green,low,1256,93743.4
257,black,medium,1257,154581.85
258,yellow,medium,1258,128652.75
259,yellow,high,1259,181472.31
260,blue,medium,1260,23742.27
261,blue,high,1261,63511.02
262,blue,low,1262,158520.37
263,blue,low,1263,164264.75
264,green,medium,1264,189806.01
265,red,low,1265,186556.71
266,yellow,high,1266,27116.95
267,blue,low,1267,121861.69
268,black,medium,1268,188400.78
269,yellow,high,1269,70058.83
270,blue,high,1270,97150.36
271,blue,medium,1271,88562.33
272,green,high,1272,199343.15
273,red,medium,1273,102998.9
274,red,low,1274,100283.27
275,green,low,1275,195011.03
276,black,medium,1276,197131.3
277,red,low,1277,17667.51
278,black,low,1278,133847.52
279,yellow,high,1279,179128.98
280,yellow,high,1280,111567.06
281,red,low,1281,108245.7
282,red,low,1282,147574.03
283,yellow,high,1283,166786.08
284,yellow,low,1284,185311.56
285,red,low,1285,28824.29
286,yellow,medium,1286,156051.29
287,red,low,1287,84270.53
288,green,low,1288,21510.21
289,blue,high,1289,143679.02
290,red,medium,1290,28307.02
291,black,medium,1291,162973.19
292,red,medium,1292,49087.89
293,yellow,high,1293,31851.75
294,black,low,1294,136631.16
295,black,high,1295,175976.5
296,blue,high,1296,143326.54
297,red,medium,1297,91119.39
298,green,low,1298,136696.47
299,black,high,1299,61591.0
300,black,high,1300,165353.77
301,green,medium,1301,13503.0
302,black,medium,1302,130487.88
303,yellow,low,1303,134403.91
304,green,high,1304,186810.29
305,yellow,high,1305,108354.47
306,red,low,1306,145633.82
307,red,high,1307,173761.16
308,red,low,1308,64593.36
309,yellow,high,1309,134597.59
310,black,medium,1310,153389.88
311,black,medium,1311,47785.32
312,green,low,1312,170283.12
313,green,high,1313,119083.04
314,black,low,1314,116525.63
315,blue,high,1315,77971.65
316,yellow,high,1316,28118.97
317,yellow,high,1317,141510.83
318,yellow,medium,1318,80541.54
319,blue,low,1319,109414.19
320,green,medium,1320,196469.47
321,green,medium,1321,62880.08
322,yellow,low,1322,35148.64
323,green,medium,1323,36519.96
324,yellow,medium,1324,81000.37
325,black,low,1325,184566.11
326,black,medium,1326,75976.63
327,green,low,1327,19100.58
328,blue,medium,1328,143474.66
329,green,low,1329,149281.94
330,red,high,1330,161809.13
331,yellow,high,1331,107943.4
332,red,medium,1332,119038.21
333,green,high,1333,114574.81
334,black,high,1334,94843.71
335,yellow,low,1335,114299.98
336,green,medium,1336,126645.64
337,blue,high,1337,12213.0
338,green,high,1338,197118.03
339,blue,medium,1339,91662.69
340,black,low,1340,124056.73
341,blue,medium,1341,45400.14
342,red,low,1342,150702.19
343,red,low,1343,86437.69
344,red,high,1344,84179.42
345,red,medium,1345,129976.01
346,red,medium,1346,15354.5
347,blue,low,1347,58610.63
348,red,high,1348,178818.37
349,yellow,high,1349,150239.41
350,blue,medium,1350,137680.77
351,black,high,1351,91695.46
352,blue,low,1352,63793.5
353,green,medium,1353,165749.82
354,black,low,1354,141498.14
355,red,medium,1355,125983.0
356,red,low,1356,11844.3
357,green,medium,1357,49144.7
358,red,low,1358,55697.36
359,black,medium,1359,14445.78
360,black,medium,1360,84902.87
361,black,high,1361,156306.37
362,blue,low,1362,80822.09
363,blue,medium,1363,106970.26
364,black,low,1364,87627.45
365,blue,low,1365,46451.9
366,blue,high,1366,171879.14
367,yellow,high,1367,190327.04
368,blue,medium,1368,160216.03
369,yellow,high,1369,82890.0
370,yellow,low,1370,168687.35
371,blue,medium,1371,171955.7
372,blue,high,1372,50880.84
373,blue,low,1373,61663.18
374,red,medium,1374,73583.37
375,yellow,high,1375,147634.5
376,red,low,1376,57526.21
377,black,low,1377,93760.29
378,blue,medium,1378,15717.28
379,black,medium,1379,95638.81
380,red,high,1380,40167.92
381,yellow,high,1381,37156.74
382,green,low,1382,59745.03
383,blue,medium,1383,151462.07
384,black,medium,1384,91451.35
385,black,medium,1385,137575.25
386,black,high,1386,183256.59
387,red,medium,1387,127450.16
388,red,medium,1388,114462.31
389,green,low,1389,110604.06
390,red,high,1390,126596.75
391,yellow,low,1391,179430.59
392,yellow,high,1392,154323.34
393,black,high,1393,140926.59
394,blue,medium,1394,56677.9
395,black,medium,1395,92371.95
396,yellow,low,1396,89512.78
397,yellow,medium,1397,197425.46
398,yellow,high,1398,12218.39
399,black,medium,1399,165065.96
400,green,high,1400,112541.81
401,blue,high,1401,185774.06
402,green,high,1402,131856.52
403,green,high,1403,61521.28
404,blue,low,1404,27405.3
405,yellow,medium,1405,130723.97
406,yellow,medium,1406,165693.53
407,black,medium,1407,16106.61
408,black,medium,1408,60026.94
409,green,low,1409,131787.26
410,blue,low,1410,181298.32
411,blue,medium,1411,86625.25
412,red,medium,1412,32902.37
413,red,high,1413,133208.75
414,green,high,1414,41107.96
415,black,high,1415,181304.33
416,yellow,medium,1416,177820.54
417,yellow,medium,1417,23976.6
418,green,medium,1418,153251.35
419,blue,high,1419,74414.45
420,red,low,1420,10558.71
421,black,high,1421,109824.43
422,blue,low,1422,160468.47
423,black,high,1423,53210.9
424,black,high,1424,108104.98
425,green,low,1425,15658.89
426,red,medium,1426,48587.91
427,red,medium,1427,59438.24
428,yellow,low,1428,30055.56
429,blue,low,1429,170228.08
430,blue,high,1430,118727.93
431,red,medium,1431,160849.41
432,black,high,1432,51540.55
433,yellow,high,1433,63592.83
434,yellow,high,1434,146229.62
435,black,low,1435,60053.27
436,yellow,high,1436,145644.29
437,black,low,1437,149984.38
438,yellow,medium,1438,27758.37
439,red,high,1439,150915.61
440,yellow,low,1440,15619.99
441,yellow,medium,1441,157757.08
442,blue,low,1442,27088.4
443,yellow,low,1443,18844.05
444,black,low,1444,111458.61
445,red,medium,1445,101300.52
446,yellow,low,1446,155922.04
447,red,medium,1447,54021.88
448,red,medium,1448,186485.9
449,yellow,medium,1449,165746.1
450,blue,low,1450,87418.76
451,green,low,1451,191718.21
452,yellow,low,1452,60306.65
453,green,low,1453,57789.58
454,yellow,high,1454,65051.2
455,red,low,1455,127779.01
456,yellow,high,1456,47040.06
457,green,medium,1457,177836.31
458,red,medium,1458,125195.09
459,yellow,medium,1459,189981.71
460,blue,high,1460,179946.43
461,black,medium,1461,104197.18
462,yellow,high,1462,70388.5
463,blue,medium,1463,180714.99
464,green,medium,1464,193185.85
465,blue,high,1465,174348.7
466,black,medium,1466,149351.54
467,blue,low,1467,83617.6
468,yellow,medium,1468,120761.03
469,blue,high,1469,187752.65
470,yellow,medium,1470,136775.34
471,green,high,1471,66222.09
472,black,low,1472,111084.12
473,blue,high,1473,194224.22
474,black,medium,1474,63225.13
475,blue,medium,1475,155743.24
476,black,high,1476,170023.67
477,blue,high,1477,110576.99
478,green,high,1478,14026.29
479,green,medium,1479,190128.16
480,yellow,high,1480,138905.16
481,blue,medium,1481,161336.23
482,green,medium,1482,157075.03
483,green,low,1483,144087.12
484,black,high,1484,105897.34
485,green,medium,1485,20333.65
486,green,high,1486,195447.89
487,yellow,high,1487,129429.25
488,red,high,1488,152616.88
489,black,medium,1489,57291.67
490,green,high,1490,22581.82
491,red,medium,1491,44052.03
492,red,medium,1492,80766.79
493,green,medium,1493,14880.23
494,yellow,low,1494,81841.36
495,blue,low,1495,23842.31
496,yellow,low,1496,130580.27
497,green,high,1497,69480.99
498,black,low,1498,139062.67
499,blue,medium,1499,122757.21
500,blue,low,1500,60678.22
501,green,medium,1501,84936.72
502,green,medium,1502,144044.12
503,black,high,1503,124887.45
504,yellow,high,1504,45205.51
505,black,medium,1505,123519.61
506,green,low,1506,93692.9
507,black,high,1507,175388.24
508,green,medium,1508,11744.77
509,blue,low,1509,176283.85
510,black,high,1510,143717.9
511,red,low,1511,94901.19
512,blue,high,1512,148650.87
513,red,low,1513,37414.7
514,green,medium,1514,109226.67
515,red,high,1515,155116.21
516,yellow,medium,1516,183383.61
517,green,high,1517,145802.13
518,red,medium,1518,68134.73
519,green,low,1519,146593.65
520,yellow,high,1520,157399.24
521,red,high,1521,91704.7
522,red,high,1522,122771.58
523,blue,low,1523,11224.75
524,red,medium,1524,60987.08
525,red,low,1525,173037.12
526,green,high,1526,146131.26
527,yellow,high,1527,172381.69
528,black,high,1528,180670.68
529,yellow,high,1529,111458.59
530,yellow,high,1530,168839.01
531,red,high,1531,27616.99
532,black,medium,1532,81700.16
533,black,low,1533,154342.66
534,yellow,low,1534,23898.4
535,green,medium,1535,155139.5
536,black,high,1536,192782.68
537,black,high,1537,76855.85
538,yellow,high,1538,175552.21
539,blue,low,1539,101855.06
540,black,low,1540,33270.17
541,yellow,high,1541,26528.68
542,blue,medium,1542,85866.51
543,yellow,medium,1543,128308.49
544,yellow,high,1544,173738.2
545,green,medium,1545,95747.85
546,red,medium,1546,100214.73
547,blue,medium,1547,180375.8
548,red,high,1548,32737.88
549,blue,medium,1549,193030.82
550,blue,low,1550,157984.41
551,black,low,1551,58520.22
552,green,low,1552,114420.46
553,green,medium,1553,31700.28
554,yellow,high,1554,178917.52
555,red,high,1555,191261.49
556,yellow,medium,1556,95680.37
557,green,high,1557,135871.49
558,yellow,low,1558,12805.06
559,green,medium,1559,132871.58
560,green,medium,1560,111067.31
561,blue,medium,1561,83516.43
562,yellow,low,1562,137669.58
563,blue,medium,1563,89148.01
564,yellow,medium,1564,82954.12
565,green,high,1565,120963.71
566,green,medium,1566,177348.07
567,black,low,1567,29898.4
568,blue,low,1568,150509.34
569,red,medium,1569,33206.62
570,yellow,high,1570,76964.89
571,red,medium,1571,168289.83
572,black,high,1572,138004.68
573,green,high,1573,73196.88
574,blue,low,1574,156246.71
575,red,medium,1575,10961.78
576,blue,medium,1576,177828.88
577,green,high,1577,94173.7
578,blue,high,1578,197802.11
579,blue,low,1579,125570.97
580,yellow,high,1580,52215.52
581,red,medium,1581,179885.31
582,black,medium,1582,117218.91
583,blue,high,1583,28034.54
584,blue,high,1584,85421.54
585,black,low,1585,190108.65
586,red,low,1586,41497.71
587,green,high,1587,42861.22
588,yellow,low,1588,131047.05
589,black,medium,1589,113944.17
590,blue,low,1590,17401.59
591,green,low,1591,40031.29
592,yellow,high,1592,184998.39
593,black,low,1593,18444.13
594,blue,high,1594,104171.76
595,red,medium,1595,169751.92
596,black,medium,1596,151222.09
597,blue,medium,1597,49476.62
598,green,medium,1598,47322.39
599,black,medium,1599,162778.77
600,yellow,low,1600,65146.0
601,red,medium,1601,62875.84
602,black,low,1602,170660.72
603,black,medium,1603,55832.77
604,red,medium,1604,62058.65
605,green,high,1605,140073.3
606,yellow,high,1606,117317.74
607,blue,medium,1607,45233.7
608,green,medium,1608,38588.78
609,blue,high,1609,99757.26
610,yellow,high,1610,129210.02
611,green,high,1611,107015.23
612,black,medium,1612,67299.83
613,green,medium,1613,11701.61
614,blue,low,1614,140293.98
615,black,medium,1615,167885.87
616,red,high,1616,141620.92
617,green,high,1617,163585.27
618,green,low,1618,11938.34
619,black,low,1619,33031.73
620,green,high,1620,177359.6
621,black,medium,1621,123268.39
622,red,low,1622,39987.93
623,green,medium,1623,77136.18
624,blue,medium,1624,76449.96
625,green,low,1625,172952.21
626,black,low,1626,17908.1
627,black,low,1627,131480.35
628,blue,low,1628,16066.22
629,blue,low,1629,22100.49
630,black,low,1630,124124.19
631,black,medium,1631,174640.98
632,green,low,1632,161573.51
633,black,low,1633,166856.38
634,blue,low,1634,51640.95
635,green,medium,1635,42267.51
636,black,low,1636,142201.11
637,red,low,1637,119125.34
638,blue,high,1638,52915.35
639,red,high,1639,10543.35
640,green,medium,1640,24469.13
641,blue,high,1641,191349.46
642,green,medium,1642,83920.41
643,yellow,low,1643,117570.03
644,blue,medium,1644,154642.15
645,green,low,1645,58468.68
646,red,medium,1646,193157.32
647,green,medium,1647,150818.29
648,black,medium,1648,144732.46
649,black,high,1649,156878.06
650,red,high,1650,18660.35
651,green,high,1651,29921.89
652,blue,medium,1652,137706.58
653,red,low,1653,31867.37
654,green,medium,1654,144926.96
655,yellow,high,1655,30835.3
656,black,low,1656,43591.57
657,red,low,1657,100946.6
658,green,high,1658,102842.03
659,yellow,high,1659,62232.31
660,black,medium,1660,82803.32
661,yellow,high,1661,115949.67
662,red,high,1662,70119.15
663,green,medium,1663,75407.39
664,yellow,high,1664,109566.92
665,yellow,high,1665,163397.21
666,yellow,low,1666,136099.19
667,blue,medium,1667,41443.4
668,yellow,medium,1668,49822.0
669,green,medium,1669,30407.87
670,green,high,1670,157624.62
671,green,medium,1671,161672.63
672,black,high,1672,130841.84
673,yellow,high,1673,85141.95
674,red,medium,1674,164682.57
675,black,high,1675,131345.58
676,blue,high,1676,71018.56
677,green,medium,1677,78438.76
678,blue,medium,1678,32895.9
679,black,low,1679,53251.21
680,blue,medium,1680,141912.99
681,black,high,1681,41457.52
682,blue,low,1682,54272.95
683,green,medium,1683,48389.91
684,yellow,medium,1684,52056.8
685,green,high,1685,158791.09
686,green,medium,1686,88125.31
687,green,medium,1687,76556.07
688,yellow,medium,1688,185322.64
689,green,low,1689,62999.3
690,black,high,1690,17891.71
691,blue,high,1691,145407.16
692,yellow,low,1692,90621.21
693,red,low,1693,92590.15
694,black,low,1694,90527.23
695,yellow,high,1695,96327.97
696,blue,medium,1696,168620.47
697,yellow,high,1697,108590.69
698,black,medium,1698,69356.46
699,black,high,1699,27490.44
700,red,medium,1700,118391.24
701,green,medium,1701,22507.11
702,blue,medium,1702,110080.91
703,black,medium,1703,25731.83
704,black,medium,1704,123786.25
705,blue,high,1705,87963.2
706,black,high,1706,12427.23
707,red,low,1707,107321.23
708,red,low,1708,91039.47
709,green,low,1709,50105.37
710,yellow,low,1710,114546.68
711,blue,low,1711,32843.08
712,red,medium,1712,56902.57
713,red,high,1713,185688.28
714,red,low,1714,12578.58
715,red,medium,1715,24734.33
716,green,high,1716,113564.87
717,black,medium,1717,173127.22
718,red,high,1718,122222.52
719,green,medium,1719,50415.08
720,yellow,high,1720,116728.25
721,black,medium,1721,152677.64
722,yellow,low,1722,118714.94
723,black,low,1723,102057.78
724,black,medium,1724,71520.29
725,black,medium,1725,131103.26
726,green,high,1726,76051.83
727,blue,medium,1727,24574.33
728,yellow,high,1728,144877.09
729,black,high,1729,51121.06
730,black,medium,1730,17212.18
731,red,high,1731,126729.74
732,red,medium,1732,109385.07
733,green,high,1733,195116.9
734,black,medium,1734,29176.94
735,yellow,high,1735,91512.42
736,yellow,high,1736,104829.0
737,red,high,1737,47259.03
738,red,low,1738,145066.07
739,blue,medium,1739,71664.16
740,black,medium,1740,183451.99
741,black,high,1741,25926.31
742,red,low,1742,56287.83
743,red,high,1743,50316.38
744,red,high,1744,30550.21
745,blue,low,1745,42363.64
746,blue,medium,1746,94491.45
747,blue,high,1747,161244.21
748,black,high,1748,95096.74
749,blue,high,1749,163953.71
750,black,high,1750,165693.44
751,red,medium,1751,54436.78
752,black,medium,1752,184282.03
753,yellow,high,1753,87982.36
754,green,low,1754,166656.21
755,red,low,1755,163609.64
756,yellow,medium,1756,171209.78
757,green,low,1757,19316.74
758,yellow,high,1758,170129.77
759,green,medium,1759,97028.8
760,green,medium,1760,92773.39
761,blue,high,1761,151115.26
762,yellow,high,1762,146823.33
763,yellow,high,1763,126362.07
764,red,high,1764,122145.34
765,black,medium,1765,68294.93
766,yellow,low,1766,153121.15
767,yellow,high,1767,142104.97
768,red,low,1768,58050.85
769,red,medium,1769,140100.79
770,blue,high,1770,137180.79
771,black,high,1771,39515.61
772,black,medium,1772,153091.97
773,blue,medium,1773,146085.91
774,red,low,1774,160158.5
775,red,medium,1775,157280.7
776,red,medium,1776,48101.82
777,yellow,medium,1777,118282.25
778,black,low,1778,74157.36
779,black,low,1779,150062.65
780,green,medium,1780,86327.0
781,green,medium,1781,90238.46
782,yellow,medium,1782,136862.31
783,yellow,high,1783,179099.07
784,black,medium,1784,34012.14
785,green,medium,1785,26730.69
786,blue,low,1786,198790.78
787,red,low,1787,101448.14
788,black,low,1788,99653.32
789,blue,high,1789,170507.45
790,yellow,medium,1790,196312.97
791,red,high,1791,61666.97
792,yellow,high,1792,74225.78
793,green,high,1793,140739.55
794,blue,high,1794,172832.61
795,red,high,1795,60949.26
796,red,high,1796,12566.37
797,yellow,medium,1797,156291.61
798,black,medium,1798,105153.03
799,blue,low,1799,36893.58
800,red,high,1800,42453.3
801,red,low,1801,106916.59
802,green,high,1802,30335.61
803,blue,high,1803,159169.36
804,blue,medium,1804,93313.74
805,red,low,1805,86195.46
806,blue,low,1806,27265.79
807,blue,high,1807,71755.49
808,red,medium,1808,112785.56
809,red,high,1809,46494.67
810,yellow,high,1810,62285.82
811,yellow,low,1811,61847.41
812,yellow,high,1812,128955.07
813,yellow,medium,1813,41419.71
814,blue,medium,1814,66437.11
815,green,high,1815,168700.57
816,red,high,1816,43610.08
817,red,low,1817,63270.9
818,black,medium,1818,173433.18
819,green,low,1819,56053.08
820,green,medium,1820,100177.67
821,red,high,1821,62874.05
822,green,medium,1822,76441.38
823,black,medium,1823,178949.81
824,blue,medium,1824,111759.69
825,yellow,medium,1825,139138.17
826,black,medium,1826,192879.59
827,yellow,high,1827,163806.87
828,red,high,1828,40439.23
829,blue,low,1829,26074.13
830,black,low,1830,139344.81
831,green,low,1831,141754.94
832,blue,low,1832,179366.57
833,black,medium,1833,172826.33
834,blue,medium,1834,88736.3
835,red,medium,1835,18330.03
836,green,high,1836,192661.93
837,yellow,high,1837,32999.23
838,yellow,high,1838,171193.91
839,yellow,medium,1839,112694.02
840,black,high,1840,38411.71
841,blue,high,1841,157905.91
842,green,medium,1842,135108.2
843,green,high,1843,178835.24
844,black,low,1844,146696.36
845,green,low,1845,198135.84
846,green,low,1846,107647.79
847,blue,medium,1847,199317.08
848,blue,medium,1848,48960.4
849,blue,low,1849,198386.58
850,black,medium,1850,141589.11
851,black,high,1851,161157.75
852,black,low,1852,90593.09
853,green,medium,1853,20160.39
854,yellow,medium,1854,61817.35
855,green,medium,1855,38178.24
856,blue,high,1856,122205.09
857,yellow,high,1857,34737.93
858,red,high,1858,12944.22
859,yellow,low,1859,172969.18
860,blue,high,1860,181638.05
861,blue,low,1861,83193.85
862,blue,low,1862,147818.94
863,blue,low,1863,191306.46
864,red,low,1864,153177.23
865,yellow,medium,1865,109372.78
866,red,medium,1866,18511.41
867,green,medium,1867,71416.13
868,yellow,high,1868,42233.23
869,green,low,1869,85717.77
870,green,high,1870,140252.62
871,green,high,1871,66709.35
872,blue,medium,1872,97457.52
873,yellow,medium,1873,102261.36
874,black,medium,1874,138529.64
875,yellow,medium,1875,53238.09
876,blue,medium,1876,113607.85
877,yellow,medium,1877,60831.41
878,blue,medium,1878,131843.0
879,yellow,medium,1879,97648.88
880,yellow,low,1880,30767.45
881,green,low,1881,188812.84
882,red,high,1882,171528.23
883,yellow,high,1883,88396.68
884,black,low,1884,166307.75
885,red,medium,1885,54524.79
886,black,high,1886,186453.72
887,yellow,high,1887,103022.71
888,blue,medium,1888,54871.07
889,yellow,low,1889,74778.1
890,green,low,1890,95434.59
891,blue,medium,1891,95037.65
892,black,medium,1892,178255.09
893,yellow,high,1893,140517.64
894,yellow,high,1894,130576.49
895,blue,low,1895,169445.85
896,yellow,low,1896,156581.93
897,red,medium,1897,91950.02
898,black,low,1898,26854.53
899,yellow,high,1899,149961.72
900,yellow,high,1900,18726.59
901,blue,medium,1901,37896.5
902,green,high,1902,63362.1
903,black,low,1903,60258.94
904,red,high,1904,34716.68
905,red,low,1905,32453.49
906,blue,low,1906,132629.49
907,red,medium,1907,67016.69
908,green,low,1908,94935.33
909,yellow,medium,1909,101118.3
910,black,medium,1910,182541.81
911,yellow,high,1911,77354.14
912,blue,high,1912,97448.72
913,yellow,high,1913,139641.98
914,green,high,1914,139555.32
915,red,low,1915,189499.18
916,black,medium,1916,109735.76
917,green,medium,1917,19895.69
918,blue,medium,1918,20299.93
919,black,low,1919,149611.46
920,yellow,medium,1920,149153.4
921,blue,high,1921,19373.77
922,yellow,low,1922,33929.38
923,green,medium,1923,37974.75
924,green,low,1924,24152.04
925,blue,high,1925,170186.37
926,red,low,1926,197927.94
927,blue,low,1927,29523.59
928,red,low,1928,29697.25
