Date,Humidity,Pressure,WindSpeed,PreviousTemp,Temperature
2020-02-16,59.2,1016.76,14.8,19.63,15.51
2020-02-17,69.75,1016.62,23.26,23.14,16.41
2020-02-18,64.69,1014.92,11.58,16.96,12.48
2020-02-19,49.88,1017.23,13.57,18.17,16.24
2020-02-20,64.42,1020.47,9.05,23.25,17.68
2020-02-21,59.39,1011.91,12.73,22.61,16.95
2020-02-22,57.28,1012.85,13.84,19.72,15.95
2020-02-23,66.23,1014.51,12.78,22.55,17.33
2020-02-24,69.09,1009.19,7.92,21.58,16.56
2020-02-25,68.32,1011.71,12.83,24.29,19.56
2020-02-26,55.86,1013.32,17.85,21.31,17.56
2020-02-27,59.5,1019.96,13.79,23.56,18.94
2020-02-28,63.91,1016.79,15.85,27.28,21.61
2020-02-29,68.35,1016.33,11.05,22.94,16.98
2020-03-01,58.09,1019.5,15.0,21.9,18.25
2020-03-02,60.07,1014.45,13.12,23.54,19.33
2020-03-03,53.55,1016.97,8.2,21.31,16.57
2020-03-04,52.85,1014.39,13.27,27.54,23.87
2020-03-05,66.84,1016.11,8.03,22.84,17.41
2020-03-06,70.57,1011.76,9.47,22.01,17.53
2020-03-07,60.49,1002.36,12.76,20.94,18.41
2020-03-08,67.95,1013.76,13.19,25.36,21.0
2020-03-09,63.38,1021.43,7.24,25.03,20.67
2020-03-10,56.25,1018.83,16.22,22.19,17.89
2020-03-11,63.22,1018.91,14.29,24.73,21.01
2020-03-12,71.38,1020.14,9.18,20.31,17.27
2020-03-13,60.29,1014.28,5.85,24.21,19.37
2020-03-14,71.42,1014.71,11.42,24.97,18.37
2020-03-15,42.05,1010.51,10.22,27.9,21.14
2020-03-16,66.06,1011.9,12.45,22.62,18.17
2020-03-17,60.84,1016.44,10.55,21.67,17.89
2020-03-18,58.06,1019.26,3.97,22.69,21.04
2020-03-19,60.72,1012.42,10.45,21.89,18.52
2020-03-20,46.09,1010.75,10.78,27.94,25.24
2020-03-21,58.38,1012.88,14.53,28.58,21.83
2020-03-22,62.34,1015.77,9.21,26.05,22.59
2020-03-23,70.11,1005.42,18.71,28.2,20.28
2020-03-24,56.06,1001.04,4.35,25.98,22.53
2020-03-25,53.95,1009.65,17.24,25.65,18.77
2020-03-26,56.02,1006.18,11.1,25.3,20.95
2020-03-27,65.87,1009.62,15.44,25.52,17.19
2020-03-28,61.68,1011.3,12.32,22.97,18.22
2020-03-29,55.6,1009.65,16.56,27.12,22.23
2020-03-30,62.82,1019.06,10.45,26.62,20.81
2020-03-31,59.83,1013.32,7.61,28.52,21.78
2020-04-01,65.86,1013.07,17.68,27.26,22.04
2020-04-02,54.09,1014.56,11.55,26.86,22.0
2020-04-03,56.63,1005.64,12.89,25.47,19.92
2020-04-04,56.11,1016.41,16.94,27.71,22.26
2020-04-05,48.53,1010.72,7.87,29.34,27.97
2020-04-06,60.78,1014.33,14.38,25.37,21.79
2020-04-07,60.46,1005.51,9.64,28.24,24.01
2020-04-08,58.59,1002.98,11.47,28.72,23.34
2020-04-09,56.84,1014.73,12.29,26.79,22.03
2020-04-10,48.5,1012.41,6.0,27.24,20.12
2020-04-11,55.39,1005.9,8.88,29.2,22.79
2020-04-12,55.87,1005.95,17.4,26.36,20.28
2020-04-13,52.58,1015.82,15.54,29.78,21.64
2020-04-14,56.99,1004.13,11.75,27.2,20.31
2020-04-15,60.88,1018.19,12.97,31.66,22.47
2020-04-16,71.19,1005.36,10.82,34.62,26.09
2020-04-17,59.14,1012.95,17.43,27.74,22.91
2020-04-18,59.65,1008.01,11.2,30.96,25.91
2020-04-19,57.26,1012.56,12.93,28.34,23.31
2020-04-20,44.28,1006.72,16.58,32.37,25.0
2020-04-21,57.46,1008.52,8.89,27.45,19.81
2020-04-22,58.0,1009.44,18.24,31.43,22.14
2020-04-23,74.76,1004.12,5.88,28.6,20.23
2020-04-24,56.1,1012.74,18.52,30.21,22.62
2020-04-25,59.5,1006.37,10.51,28.54,22.54
2020-04-26,57.08,1007.7,11.03,32.75,24.66
2020-04-27,49.08,1003.77,4.44,29.24,24.93
2020-04-28,65.2,995.84,10.18,32.43,24.5
2020-04-29,62.41,1007.6,7.84,30.59,24.26
2020-04-30,62.62,1020.53,9.57,31.23,26.42
2020-05-01,50.66,1012.29,11.45,31.94,24.47
2020-05-02,66.79,1008.19,15.83,30.06,23.44
2020-05-03,47.1,1006.88,12.83,32.33,26.28
2020-05-04,60.96,1008.22,13.23,35.36,26.95
2020-05-05,72.13,1010.76,7.62,30.4,24.59
2020-05-06,49.81,1002.03,8.48,34.81,29.21
2020-05-07,52.73,1013.43,19.19,35.65,26.69
2020-05-08,57.34,1011.35,9.06,30.67,24.48
2020-05-09,53.07,1011.29,18.62,29.38,23.73
2020-05-10,45.68,1009.81,11.03,33.35,27.03
2020-05-11,56.97,1007.64,12.01,31.59,25.83
2020-05-12,49.01,1010.83,16.28,37.02,29.73
2020-05-13,59.71,1010.35,17.09,33.09,27.98
2020-05-14,49.91,1005.55,11.56,31.35,23.44
2020-05-15,67.15,1004.38,10.45,30.69,23.47
2020-05-16,50.78,1007.69,11.78,35.71,27.36
2020-05-17,53.96,1014.86,13.35,32.15,26.6
2020-05-18,61.87,1000.86,15.57,33.59,23.52
2020-05-19,47.52,999.65,12.02,35.69,28.98
2020-05-20,57.69,1007.75,14.48,32.61,24.73
2020-05-21,65.21,1007.13,18.55,33.65,24.4
2020-05-22,44.77,1007.68,13.53,33.8,25.63
2020-05-23,57.28,1007.98,13.25,35.42,27.1
2020-05-24,57.77,1005.59,5.92,35.29,29.5
2020-05-25,61.39,1014.1,1.48,33.58,27.15
2020-05-26,47.23,998.6,13.55,34.28,28.2
2020-05-27,46.61,1002.41,11.62,33.39,29.23
2020-05-28,59.48,1005.99,9.94,31.02,24.91
2020-05-29,57.88,998.25,12.97,34.9,26.29
2020-05-30,57.53,1005.54,11.76,38.56,30.6
2020-05-31,58.17,1014.69,16.51,32.51,24.78
2020-06-01,50.96,1006.45,12.34,32.81,25.7
2020-06-02,57.32,1007.46,9.01,32.64,24.05
2020-06-03,57.73,999.97,15.96,36.2,28.98
2020-06-04,50.65,1003.16,11.13,35.64,27.92
2020-06-05,68.7,1004.34,14.11,34.35,26.08
2020-06-06,58.93,1004.59,10.09,32.72,24.44
2020-06-07,47.26,1012.56,9.4,34.98,29.21
2020-06-08,60.18,1008.92,12.34,31.37,23.67
2020-06-09,48.75,1000.55,12.05,35.16,27.89
2020-06-10,61.07,1007.32,13.92,36.79,29.46
2020-06-11,63.66,1008.56,10.93,32.15,26.07
2020-06-12,49.79,1011.76,4.65,31.55,26.29
2020-06-13,62.27,1013.94,10.27,38.42,27.59
2020-06-14,58.41,1000.95,15.18,33.61,29.84
2020-06-15,61.27,1001.96,10.81,37.47,31.15
2020-06-16,68.78,999.72,11.01,34.64,27.1
2020-06-17,53.79,1004.84,15.95,34.64,26.14
2020-06-18,50.22,1008.33,9.15,35.96,28.85
2020-06-19,49.27,1010.94,5.83,33.06,26.62
2020-06-20,49.79,1005.62,11.36,35.29,29.94
2020-06-21,54.96,1004.4,10.06,34.16,27.47
2020-06-22,57.89,1006.77,8.14,32.08,24.61
2020-06-23,57.45,1001.84,11.3,35.72,27.27
2020-06-24,61.3,1016.47,13.97,34.39,28.3
2020-06-25,55.61,998.0,11.96,34.61,29.14
2020-06-26,65.7,1006.97,13.23,32.27,26.73
2020-06-27,53.69,1016.18,19.25,38.41,30.9
2020-06-28,74.59,1006.11,10.63,36.82,27.16
2020-06-29,59.94,1005.15,13.11,36.98,24.33
2020-06-30,49.58,1004.33,9.96,34.16,27.96
2020-07-01,48.09,1005.24,8.61,30.99,25.54
2020-07-02,58.98,1013.03,9.66,39.06,30.81
2020-07-03,54.06,995.13,10.08,34.59,27.31
2020-07-04,60.64,1013.89,13.44,33.04,24.16
2020-07-05,58.98,999.13,21.4,35.56,27.48
2020-07-06,55.17,1004.95,9.14,37.16,30.19
2020-07-07,49.78,1004.18,10.33,34.49,28.65
2020-07-08,45.13,1009.3,11.75,37.3,31.43
2020-07-09,52.63,998.41,13.58,36.81,29.56
2020-07-10,61.78,1008.75,13.05,32.01,24.4
2020-07-11,57.31,1016.6,17.14,32.83,25.7
2020-07-12,47.12,999.71,2.29,36.35,29.94
2020-07-13,57.08,1007.52,2.45,28.21,23.53
2020-07-14,58.6,1003.31,10.02,33.78,27.84
2020-07-15,49.75,1008.8,16.39,30.89,25.66
2020-07-16,57.04,1006.82,5.74,32.92,29.19
2020-07-17,56.41,1003.57,1.0,33.23,29.92
2020-07-18,48.04,1009.27,14.28,33.02,26.78
2020-07-19,58.58,1015.91,12.97,32.51,20.78
2020-07-20,60.04,1006.0,7.64,31.22,26.47
2020-07-21,63.73,1010.61,8.06,38.59,29.27
2020-07-22,63.57,1000.61,8.12,37.57,27.9
2020-07-23,46.59,1002.36,12.44,30.81,24.62
2020-07-24,49.71,1009.57,9.49,36.75,29.04
2020-07-25,59.93,1014.7,13.98,32.3,26.19
2020-07-26,59.96,1009.13,1.0,33.36,25.0
2020-07-27,60.02,1005.85,8.57,32.83,24.54
2020-07-28,83.43,1007.49,7.5,31.41,23.63
2020-07-29,60.5,1001.32,10.97,34.92,27.89
2020-07-30,64.51,1010.67,9.85,32.93,26.52
2020-07-31,63.29,1012.14,15.19,31.49,23.34
2020-08-01,61.22,1005.54,4.56,29.55,22.52
2020-08-02,54.51,1005.54,12.18,30.34,23.63
2020-08-03,62.08,1009.3,14.23,28.58,22.67
2020-08-04,51.41,1005.87,19.43,32.09,27.16
2020-08-05,55.22,1007.81,10.07,29.31,21.06
2020-08-06,53.53,1018.72,13.3,31.24,25.03
2020-08-07,57.56,1007.08,4.78,34.71,26.09
2020-08-08,73.25,1006.61,2.43,34.2,24.23
2020-08-09,44.03,1005.26,15.38,31.36,26.85
2020-08-10,61.97,1012.31,11.98,31.11,25.17
2020-08-11,45.94,1007.78,16.71,35.3,28.83
2020-08-12,53.98,1005.53,6.51,32.18,27.3
2020-08-13,64.97,1015.48,14.08,30.17,22.85
2020-08-14,57.86,1016.07,19.48,27.61,21.23
2020-08-15,49.93,1006.07,13.68,31.48,28.21
2020-08-16,52.53,999.84,13.11,32.29,25.28
2020-08-17,62.36,1014.31,12.03,28.93,23.87
2020-08-18,52.56,1005.95,5.72,30.82,25.32
2020-08-19,59.25,1013.43,17.42,29.23,20.52
2020-08-20,58.12,999.73,9.56,29.47,20.75
2020-08-21,53.31,1014.15,14.02,24.25,19.36
2020-08-22,72.95,1003.74,5.75,29.09,23.74
2020-08-23,62.45,1013.56,7.28,31.55,26.18
2020-08-24,43.9,1010.08,17.74,27.88,24.24
2020-08-25,59.46,1005.35,10.61,29.23,21.92
2020-08-26,53.59,1008.2,17.81,27.29,23.89
2020-08-27,64.26,1013.78,11.69,29.59,22.0
2020-08-28,52.82,1010.99,4.63,28.16,23.89
2020-08-29,57.63,1013.49,15.57,26.41,21.16
2020-08-30,62.04,1020.56,9.64,31.24,24.76
2020-08-31,64.64,1002.97,14.79,30.19,24.82
2020-09-01,50.25,1019.0,12.1,26.65,21.47
2020-09-02,56.39,1011.55,5.83,28.92,22.04
2020-09-03,55.48,1006.65,12.66,28.84,23.15
2020-09-04,54.31,1004.61,20.78,28.9,22.03
2020-09-05,71.31,1010.43,13.97,23.6,22.48
2020-09-06,61.87,1016.1,11.77,29.37,24.23
2020-09-07,50.28,1010.97,16.3,25.73,20.61
2020-09-08,65.61,1019.28,12.84,26.03,19.28
2020-09-09,74.11,1004.59,12.84,32.45,21.71
2020-09-10,66.56,1011.9,7.63,27.14,20.24
2020-09-11,48.78,1005.82,12.94,25.46,21.33
2020-09-12,56.1,1014.02,16.14,21.29,19.43
2020-09-13,68.43,1016.76,8.66,29.02,24.3
2020-09-14,54.69,1010.34,17.7,22.84,18.87
2020-09-15,62.83,999.54,11.63,23.42,18.08
2020-09-16,65.22,1013.68,8.45,24.72,20.28
2020-09-17,53.39,1014.99,15.99,28.4,22.28
2020-09-18,59.53,1014.95,10.85,26.81,23.96
2020-09-19,37.34,1019.22,15.04,24.59,21.45
2020-09-20,52.94,1007.81,10.83,25.44,20.95
2020-09-21,58.42,1016.69,11.76,23.27,16.37
2020-09-22,51.53,1019.37,13.97,24.73,20.5
2020-09-23,71.77,1004.63,13.16,24.41,19.62
2020-09-24,50.4,1015.24,4.02,26.21,21.2
2020-09-25,57.41,1011.25,7.52,26.03,20.52
2020-09-26,61.48,1013.48,15.72,24.82,20.74
2020-09-27,70.73,1015.74,11.47,22.77,15.98
2020-09-28,50.67,1011.69,9.91,25.03,22.51
2020-09-29,68.94,1010.86,6.57,23.02,17.78
2020-09-30,60.95,1014.53,7.68,20.68,16.94
2020-10-01,54.08,1009.04,3.91,22.0,17.62
2020-10-02,64.26,1009.17,11.59,22.91,18.8
2020-10-03,62.49,1018.11,9.61,24.55,23.26
2020-10-04,56.97,1009.09,8.13,21.98,19.52
2020-10-05,61.74,1018.28,11.73,19.56,15.24
2020-10-06,58.63,1017.37,13.46,22.18,19.81
2020-10-07,62.19,1006.55,20.37,22.14,16.73
2020-10-08,66.11,1011.9,5.95,22.14,19.93
2020-10-09,72.65,1021.37,16.64,23.59,19.14
2020-10-10,52.95,1010.61,15.89,23.65,15.62
2020-10-11,76.62,1013.31,8.88,19.94,14.22
2020-10-12,48.1,1018.05,12.81,19.73,18.71
2020-10-13,60.77,1019.77,10.17,18.64,16.15
2020-10-14,66.02,1014.7,12.74,22.31,16.48
2020-10-15,63.94,1013.08,18.04,23.8,17.76
2020-10-16,57.68,1023.29,14.42,19.77,14.3
2020-10-17,60.65,1024.98,14.03,19.78,16.51
2020-10-18,58.73,1021.28,10.28,23.39,22.44
2020-10-19,58.12,1016.92,6.06,21.12,19.24
2020-10-20,68.26,1012.56,11.17,20.82,19.47
2020-10-21,64.88,1012.55,16.83,17.09,14.91
2020-10-22,57.59,1019.41,5.89,21.06,19.61
2020-10-23,68.81,1018.99,7.78,17.38,17.13
2020-10-24,64.72,1024.01,12.51,16.79,14.73
2020-10-25,68.33,1020.35,8.06,18.38,15.1
2020-10-26,67.11,1009.68,8.83,17.72,15.92
2020-10-27,56.96,1022.55,10.31,18.38,18.03
2020-10-28,58.9,1012.4,6.54,15.56,13.33
2020-10-29,68.11,1015.56,8.1,20.71,15.95
2020-10-30,67.21,1018.82,14.81,20.95,16.88
2020-10-31,62.85,1027.64,6.77,14.05,14.07
2020-11-01,63.88,1030.0,5.61,20.36,18.65
2020-11-02,72.05,1020.87,9.48,16.3,11.6
2020-11-03,59.03,1017.01,14.93,19.85,18.98
2020-11-04,67.05,1020.68,11.21,17.69,13.87
2020-11-05,61.86,1022.53,10.14,17.79,14.99
2020-11-06,61.8,1016.57,12.18,17.2,13.4
2020-11-07,71.07,1027.23,5.02,20.16,20.36
2020-11-08,69.21,1019.49,13.98,14.65,12.4
2020-11-09,69.17,1020.9,13.53,18.61,13.91
2020-11-10,72.67,1021.82,10.36,19.58,16.85
2020-11-11,63.72,1020.67,16.02,18.63,16.26
2020-11-12,68.4,1022.83,7.49,22.07,17.87
2020-11-13,61.5,1015.62,16.51,15.69,14.23
2020-11-14,65.98,1015.98,12.62,18.86,14.31
2020-11-15,62.84,1013.34,10.65,16.42,13.31
2020-11-16,64.48,1021.1,11.92,19.28,13.4
2020-11-17,68.0,1022.86,11.57,16.45,12.06
2020-11-18,58.15,1021.32,16.88,15.53,15.78
2020-11-19,78.56,1027.46,7.69,19.17,17.47
2020-11-20,56.91,1019.12,8.95,15.13,13.9
2020-11-21,55.49,1022.55,16.15,13.02,14.1
2020-11-22,72.13,1013.8,9.62,14.92,12.02
2020-11-23,69.6,1017.38,15.6,17.34,13.48
2020-11-24,68.46,1022.84,18.8,18.97,15.05
2020-11-25,68.52,1023.66,10.39,16.08,13.42
2020-11-26,64.07,1017.99,14.73,18.67,15.01
2020-11-27,57.9,1019.15,7.39,12.72,13.6
2020-11-28,64.74,1011.96,15.02,14.67,12.34
2020-11-29,59.5,1017.81,12.8,14.95,14.05
2020-11-30,71.09,1024.08,13.89,15.27,13.87
2020-12-01,63.26,1022.55,9.42,15.66,14.25
2020-12-02,58.53,1022.21,5.36,16.94,14.1
2020-12-03,62.08,1019.99,14.01,14.39,10.73
2020-12-04,67.24,1019.81,3.75,15.63,13.98
2020-12-05,60.43,1016.5,10.73,15.19,13.12
2020-12-06,58.63,1023.32,15.76,13.21,11.98
2020-12-07,66.11,1021.96,12.77,14.96,12.71
2020-12-08,66.14,1022.34,19.79,14.86,15.46
2020-12-09,60.89,1017.27,16.1,14.78,10.88
2020-12-10,61.15,1009.15,9.38,15.19,10.59
2020-12-11,66.08,1025.42,12.11,15.26,13.54
2020-12-12,54.33,1017.56,11.81,14.12,12.52
2020-12-13,54.62,1015.65,5.67,17.85,16.52
2020-12-14,59.45,1023.44,8.24,12.46,12.63
2020-12-15,63.0,1018.02,9.76,13.44,13.67
2020-12-16,66.67,1025.29,3.86,21.13,15.98
2020-12-17,74.82,1023.08,12.19,12.72,9.78
2020-12-18,70.5,1023.42,11.0,12.02,11.01
2020-12-19,63.38,1013.17,5.31,16.62,15.48
2020-12-20,64.37,1026.06,13.62,10.43,12.52
2020-12-21,57.48,1021.3,14.86,14.49,14.14
2020-12-22,64.36,1018.14,12.91,19.73,16.11
2020-12-23,62.47,1020.7,10.7,11.63,9.59
2020-12-24,66.74,1011.09,14.37,10.68,8.41
2020-12-25,58.68,1022.01,14.72,11.76,10.09
2020-12-26,68.1,1014.8,13.23,17.05,14.68
2020-12-27,75.19,1013.17,8.7,17.57,14.28
2020-12-28,63.68,1012.3,13.11,13.99,10.19
2020-12-29,67.24,1025.46,16.78,16.65,13.07
2020-12-30,69.25,1016.73,9.61,18.24,16.08
2020-12-31,61.59,1027.52,20.39,19.15,16.12
2021-01-01,65.97,1017.16,9.9,14.68,13.37
2021-01-02,64.47,1011.28,12.13,10.2,9.66
2021-01-03,65.05,1014.21,9.31,13.5,13.92
2021-01-04,58.93,1025.94,12.89,14.41,13.32
2021-01-05,64.5,1018.95,5.03,14.82,12.79
2021-01-06,67.79,1016.95,9.82,15.03,11.54
2021-01-07,74.44,1020.46,7.63,17.95,14.91
2021-01-08,70.97,1022.13,12.54,18.35,11.63
2021-01-09,79.3,1025.16,15.98,15.23,11.47
2021-01-10,58.83,1026.78,14.58,18.08,15.29
2021-01-11,70.28,1017.69,2.51,16.51,12.43
2021-01-12,65.43,1012.81,20.17,15.94,11.41
2021-01-13,79.44,1017.33,13.18,17.86,14.63
2021-01-14,58.42,1020.65,8.89,16.09,14.73
2021-01-15,58.17,1014.48,12.63,20.53,17.3
2021-01-16,59.82,1014.46,12.7,12.92,11.94
2021-01-17,49.11,1020.9,9.33,15.03,14.5
2021-01-18,60.26,1018.89,12.79,15.97,15.44
2021-01-19,58.59,1019.23,9.57,17.3,15.35
2021-01-20,64.92,1015.22,10.38,19.21,13.97
2021-01-21,66.21,1017.79,9.25,16.45,16.07
2021-01-22,76.91,1014.26,6.27,13.47,11.56
2021-01-23,70.39,1023.27,12.58,18.55,14.26
2021-01-24,59.66,1023.92,14.34,18.45,14.06
2021-01-25,57.36,1009.45,14.06,12.62,11.78
2021-01-26,67.05,1013.96,15.28,16.98,13.52
2021-01-27,54.32,1011.05,13.3,13.6,14.37
2021-01-28,76.33,1015.21,9.87,15.74,12.05
2021-01-29,71.72,1017.97,15.36,15.32,11.13
2021-01-30,60.13,1011.06,6.57,19.2,17.6
2021-01-31,51.37,1013.62,8.4,17.79,17.25
2021-02-01,72.78,1013.13,8.14,14.82,12.42
2021-02-02,62.45,1019.1,16.32,19.7,16.95
2021-02-03,71.87,1018.33,15.77,14.73,11.71
2021-02-04,51.98,1014.28,13.95,18.74,16.56
2021-02-05,58.89,1018.69,16.29,16.34,15.44
2021-02-06,63.07,1014.99,8.48,17.45,15.72
2021-02-07,63.3,1016.27,13.39,19.5,15.78
2021-02-08,59.77,1025.91,11.5,19.66,18.6
2021-02-09,67.22,1024.15,15.39,21.59,14.2
2021-02-10,55.32,1010.85,11.54,18.6,18.65
2021-02-11,61.74,1021.41,10.46,19.59,14.37
2021-02-12,63.52,1021.22,14.16,18.09,14.24
2021-02-13,66.21,1011.32,15.5,19.6,15.47
2021-02-14,67.53,1021.06,9.33,20.3,16.52
2021-02-15,54.61,1024.55,11.76,19.26,18.21
2021-02-16,51.68,1011.15,7.77,15.65,13.09
2021-02-17,71.3,1012.07,2.01,20.5,17.21
2021-02-18,64.61,1021.65,12.8,20.72,16.23
2021-02-19,56.98,1017.81,14.44,18.57,16.18
2021-02-20,73.01,1019.11,13.05,17.39,13.74
2021-02-21,62.89,1017.95,4.2,23.61,19.9
2021-02-22,70.27,1018.09,10.6,21.6,16.52
2021-02-23,62.42,1009.4,3.13,20.17,16.51
2021-02-24,76.3,1021.16,17.48,18.33,14.31
2021-02-25,74.09,1021.66,7.66,19.18,16.76
2021-02-26,59.99,1014.55,17.02,24.01,18.4
2021-02-27,68.46,1015.37,15.78,21.61,15.76
2021-02-28,66.11,1007.82,8.4,20.25,17.26
2021-03-01,71.1,1017.93,7.47,22.75,18.2
2021-03-02,54.69,1018.11,13.4,20.0,18.18
2021-03-03,66.17,1014.82,8.62,25.25,19.08
2021-03-04,68.71,1020.64,12.41,25.09,17.49
2021-03-05,48.91,1013.23,10.07,21.26,17.9
2021-03-06,52.87,1017.61,4.88,21.07,17.69
2021-03-07,46.8,1009.57,3.08,16.85,15.94
2021-03-08,59.11,1014.43,12.91,19.52,15.51
2021-03-09,65.95,1013.56,9.75,20.0,17.33
2021-03-10,71.36,1015.44,9.79,23.42,18.07
2021-03-11,61.29,1012.35,14.78,22.57,18.34
2021-03-12,72.09,1013.42,16.69,20.5,15.87
2021-03-13,50.96,1018.09,10.91,23.01,20.02
2021-03-14,48.62,1011.66,10.64,24.91,21.12
2021-03-15,60.07,1005.69,14.0,25.13,20.61
2021-03-16,63.08,1022.35,6.57,19.96,16.05
2021-03-17,60.08,1020.39,12.89,24.03,21.5
2021-03-18,45.76,1006.9,14.21,21.44,18.15
2021-03-19,59.53,1016.69,14.72,26.64,19.65
2021-03-20,50.95,1010.61,4.25,26.55,22.87
2021-03-21,64.69,1014.32,8.95,23.02,17.62
2021-03-22,62.49,1014.35,8.49,23.49,20.14
2021-03-23,53.27,1011.59,12.4,24.33,23.09
2021-03-24,56.17,1008.72,13.92,20.56,16.04
2021-03-25,52.28,1009.07,17.99,26.43,21.72
2021-03-26,59.17,1007.82,10.02,25.26,18.21
2021-03-27,66.22,1008.12,10.01,28.16,22.62
2021-03-28,52.56,1011.82,16.6,23.78,18.41
2021-03-29,62.91,1008.46,13.19,25.01,18.97
2021-03-30,55.59,1015.33,17.07,23.23,17.55
2021-03-31,53.68,1019.24,13.15,24.5,21.43
2021-04-01,58.4,1008.78,7.37,24.28,21.4
2021-04-02,51.83,1012.76,6.67,29.24,24.4
2021-04-03,55.13,1013.95,5.79,25.68,20.52
2021-04-04,50.54,1013.69,14.65,27.66,24.79
2021-04-05,72.6,1011.59,16.75,26.71,19.07
2021-04-06,59.02,1014.81,19.4,24.92,16.92
2021-04-07,53.8,1013.39,15.37,27.51,22.88
2021-04-08,60.13,1004.68,16.65,29.37,21.31
2021-04-09,57.77,1015.1,9.68,25.55,22.35
2021-04-10,56.94,1015.08,7.37,30.15,24.13
2021-04-11,62.71,1006.71,15.4,26.67,21.55
2021-04-12,63.64,1010.6,13.67,27.63,23.46
2021-04-13,54.55,1013.72,12.43,30.02,22.71
2021-04-14,54.16,1009.14,13.55,27.55,21.57
2021-04-15,56.2,1015.45,13.29,29.25,23.48
2021-04-16,41.94,1021.79,17.14,28.63,26.15
2021-04-17,47.38,1005.93,17.18,29.76,23.2
2021-04-18,67.48,1002.85,14.18,24.39,17.95
2021-04-19,69.36,1011.17,15.38,25.76,20.33
2021-04-20,56.04,1013.15,14.06,31.29,24.18
2021-04-21,61.75,1008.29,10.16,32.37,25.61
2021-04-22,59.82,1016.6,15.03,28.23,20.43
2021-04-23,79.13,1002.54,6.42,29.84,25.21
2021-04-24,65.35,1012.6,16.22,31.17,22.15
2021-04-25,56.56,1006.01,7.22,32.19,25.45
2021-04-26,50.7,1017.53,13.14,26.34,21.95
2021-04-27,46.08,1018.8,8.62,28.99,27.16
2021-04-28,58.69,1004.91,14.21,30.35,22.05
2021-04-29,51.91,1005.9,11.86,32.76,28.85
2021-04-30,47.19,1012.85,5.62,36.85,31.29
2021-05-01,52.56,1006.53,13.68,30.98,25.36
2021-05-02,49.45,1008.14,9.69,28.52,22.38
2021-05-03,68.78,1008.41,15.52,32.63,25.35
2021-05-04,63.08,998.59,12.01,34.77,25.66
2021-05-05,56.8,1008.04,13.58,32.23,27.07
2021-05-06,67.16,1004.57,8.17,30.12,22.14
2021-05-07,57.29,1005.47,9.64,34.34,27.0
2021-05-08,50.66,1015.07,10.17,33.81,26.82
2021-05-09,67.3,1001.49,15.43,30.21,21.5
2021-05-10,60.36,1011.76,18.71,33.42,26.66
2021-05-11,49.28,1006.22,8.78,34.88,28.96
2021-05-12,55.16,1006.14,16.31,35.4,29.14
