Country,Age,Salary,Purchased
Germany,47.0,81660.0,No
France,25.0,59775.0,No
Spain,39.0,70804.0,No
France,,72869.0,No
France,28.0,43336.0,No
France,31.0,57092.0,No
Spain,43.0,75023.0,No
Spain,,58144.0,No
France,42.0,75138.0,No
France,43.0,81034.0,No
Germany,44.0,53917.0,No
France,49.0,59144.0,No
France,42.0,61204.0,No
Spain,36.0,60720.0,No
Germany,45.0,58958.0,No
France,57.0,92525.0,No
Germany,37.0,63095.0,No
Germany,28.0,50903.0,No
France,49.0,51933.0,No
Germany,37.0,42327.0,No
Spain,18.0,44572.0,No
Spain,46.0,41236.0,No
Spain,33.0,66534.0,No
Spain,37.0,56487.0,No
France,41.0,,No
Germany,40.0,88609.0,No
France,45.0,63408.0,No
France,34.0,54005.0,No
France,43.0,75765.0,No
Spain,35.0,77302.0,No
Germany,,46193.0,No
France,44.0,43302.0,No
Spain,29.0,43317.0,No
France,49.0,75967.0,No
Spain,33.0,60339.0,No
France,46.0,79310.0,No
Germany,42.0,48109.0,No
Spain,56.0,47950.0,No
Germany,36.0,67485.0,No
France,35.0,46118.0,No
Spain,38.0,34803.0,No
France,35.0,58212.0,No
Germany,46.0,75918.0,No
Germany,22.0,43189.0,No
France,27.0,44223.0,No
Spain,27.0,47677.0,No
Germany,48.0,63306.0,Yes
Spain,55.0,58419.0,No
Spain,37.0,49684.0,No
France,36.0,63936.0,No
France,39.0,63691.0,No
Germany,50.0,71674.0,No
Germany,,38912.0,No
Spain,40.0,59167.0,No
France,48.0,41852.0,No
Spain,43.0,65852.0,No
Germany,40.0,78053.0,No
Germany,48.0,50520.0,No
Germany,18.0,34169.0,No
Germany,45.0,69250.0,No
Spain,31.0,68347.0,No
France,20.0,37346.0,No
France,43.0,55494.0,No
Germany,52.0,47936.0,No
Spain,37.0,59204.0,No
France,48.0,92281.0,No
France,54.0,77039.0,No
Spain,51.0,70767.0,No
France,54.0,77825.0,No
France,45.0,65746.0,No
Spain,39.0,50123.0,No
Germany,22.0,54662.0,No
Spain,36.0,,No
France,30.0,51822.0,No
Germany,60.0,67034.0,No
France,36.0,73259.0,No
France,39.0,68285.0,No
Germany,44.0,57528.0,No
Spain,38.0,71614.0,No
Germany,55.0,68485.0,Yes
Spain,32.0,44212.0,No
Spain,40.0,51835.0,No
France,31.0,31265.0,No
Spain,25.0,52978.0,No
France,32.0,31720.0,No
France,38.0,44125.0,No
Germany,34.0,30429.0,No
Spain,31.0,51935.0,No
Germany,24.0,44739.0,No
Spain,37.0,54532.0,Yes
Germany,23.0,33147.0,No
Spain,46.0,51974.0,No
Spain,39.0,65514.0,No
Spain,23.0,39475.0,No
France,,60213.0,No
Germany,30.0,41808.0,No
France,41.0,64245.0,No
France,51.0,86903.0,Yes
Spain,19.0,49357.0,No
France,39.0,,No
Germany,36.0,60845.0,No
Germany,45.0,62354.0,No
Germany,40.0,61213.0,No
Spain,30.0,48525.0,No
France,35.0,54356.0,No
Germany,30.0,54581.0,No
Spain,49.0,56964.0,No
Germany,38.0,47201.0,No
Germany,57.0,59648.0,Yes
Germany,37.0,39451.0,No
France,31.0,38217.0,No
Spain,23.0,,No
Germany,20.0,32258.0,No
France,22.0,51106.0,No
France,41.0,62021.0,No
Spain,43.0,40156.0,No
Germany,22.0,52829.0,No
Germany,47.0,76985.0,No
Spain,33.0,42926.0,No
France,39.0,65563.0,No
Spain,54.0,,Yes
Germany,47.0,68444.0,No
France,35.0,41609.0,No
Spain,29.0,29662.0,No
Germany,18.0,36606.0,No
Germany,31.0,51243.0,No
Germany,36.0,52528.0,No
Germany,28.0,36107.0,No
Spain,37.0,53220.0,No
France,39.0,63123.0,No
Germany,36.0,56638.0,No
Germany,31.0,55540.0,No
Germany,40.0,52677.0,No
Germany,42.0,77238.0,No
Spain,27.0,35272.0,No
Spain,52.0,77749.0,No
Germany,37.0,72495.0,No
Spain,38.0,65141.0,No
Germany,45.0,63144.0,No
Germany,40.0,54959.0,No
Germany,48.0,80211.0,Yes
France,41.0,44708.0,No
Spain,32.0,42047.0,No
France,42.0,57683.0,No
Spain,27.0,63758.0,No
France,39.0,,No
Spain,38.0,47284.0,No
Spain,36.0,53603.0,No
France,37.0,50671.0,No
Spain,19.0,33746.0,No
France,33.0,66008.0,No
France,39.0,43575.0,No
Germany,40.0,79944.0,Yes
Spain,28.0,59890.0,No
France,51.0,83682.0,No
Spain,29.0,45849.0,No
Germany,48.0,66126.0,No
France,42.0,45847.0,No
Spain,32.0,47088.0,No
France,56.0,81102.0,No
France,26.0,64010.0,No
Spain,47.0,54187.0,No
Spain,48.0,63819.0,No
Spain,31.0,51349.0,No
Germany,52.0,54983.0,No
Germany,35.0,64046.0,No
Spain,41.0,53110.0,No
France,41.0,,Yes
Germany,37.0,52568.0,No
France,46.0,57025.0,No
Spain,46.0,66257.0,No
France,21.0,40876.0,No
France,51.0,66477.0,No
Germany,21.0,35496.0,No
Germany,48.0,72327.0,No
Germany,49.0,89184.0,No
Spain,27.0,51060.0,No
France,34.0,67456.0,No
France,27.0,32566.0,No
France,36.0,59159.0,No
Spain,35.0,43259.0,No
Germany,46.0,48494.0,No
Spain,51.0,62120.0,No
France,52.0,86064.0,No
Germany,32.0,65541.0,No
Germany,36.0,60233.0,No
Spain,21.0,25657.0,No
Spain,30.0,49592.0,No
Spain,48.0,71504.0,No
France,54.0,75847.0,No
Spain,26.0,25965.0,No
Germany,32.0,43184.0,No
France,38.0,58193.0,No
France,41.0,68157.0,No
France,30.0,25560.0,No
France,42.0,61071.0,No
Germany,,56652.0,No
Germany,38.0,69265.0,No
Spain,43.0,72431.0,No
France,38.0,66249.0,No
Spain,34.0,45673.0,No
Spain,37.0,35317.0,No
France,37.0,53688.0,No
Spain,34.0,67889.0,No
Spain,35.0,73592.0,No
Spain,54.0,82114.0,No
Spain,44.0,,No
France,35.0,61096.0,Yes
Spain,45.0,58799.0,No
Spain,35.0,54635.0,No
Spain,50.0,89787.0,No
Germany,,51216.0,No
Spain,,77612.0,No
France,42.0,59365.0,No
France,22.0,60967.0,No
Spain,,32177.0,No
France,26.0,55486.0,No
Spain,39.0,51645.0,No
Germany,55.0,57809.0,No
Spain,60.0,81904.0,No
Spain,44.0,77056.0,No
Spain,43.0,53568.0,No
Spain,20.0,25002.0,No
Spain,33.0,53214.0,No
Germany,30.0,51061.0,No
Spain,32.0,60192.0,No
Germany,36.0,69082.0,No
Germany,33.0,54238.0,No
France,18.0,63652.0,No
France,45.0,68622.0,No
France,27.0,45388.0,No
France,40.0,42014.0,No
France,59.0,74715.0,No
Germany,29.0,46889.0,No
France,18.0,52724.0,No
France,35.0,62176.0,No
Germany,49.0,54956.0,No
France,58.0,78892.0,No
Germany,26.0,56192.0,No
France,43.0,82007.0,No
France,33.0,65662.0,No
Germany,37.0,67377.0,No
Spain,64.0,83720.0,Yes
Germany,23.0,50333.0,No
Germany,41.0,,No
Germany,43.0,47416.0,No
France,49.0,64779.0,No
France,39.0,50811.0,No
Germany,41.0,66522.0,No
Germany,34.0,70438.0,No
Germany,41.0,54458.0,Yes
Spain,35.0,27428.0,No
Spain,44.0,59847.0,No
Germany,34.0,66835.0,No
Spain,,69045.0,No
Germany,38.0,64075.0,No
Germany,49.0,65975.0,No
Spain,37.0,43389.0,No
Germany,20.0,49426.0,No
Germany,51.0,60546.0,No
France,29.0,77258.0,No
Germany,31.0,60162.0,No
Spain,32.0,46871.0,No
Germany,52.0,64233.0,No
France,18.0,,No
Germany,65.0,80626.0,Yes
Spain,49.0,82107.0,No
France,40.0,63446.0,No
Germany,37.0,,No
France,41.0,84455.0,No
France,43.0,64482.0,No
Germany,44.0,74233.0,No
Germany,44.0,56902.0,No
Spain,39.0,64364.0,No
Spain,36.0,61157.0,No
Spain,36.0,35163.0,No
France,36.0,81629.0,No
France,,84892.0,No
Germany,44.0,59776.0,No
Germany,18.0,27973.0,No
Germany,45.0,69274.0,No
Germany,40.0,,No
France,38.0,63300.0,No
Spain,34.0,58002.0,No
France,49.0,75392.0,No
Spain,47.0,85095.0,No
Spain,30.0,59061.0,No
Germany,42.0,50268.0,Yes
Spain,28.0,66806.0,No
France,24.0,66471.0,No
France,32.0,91384.0,No
Germany,47.0,53480.0,No
Spain,48.0,70693.0,No
France,43.0,38833.0,Yes
France,45.0,72364.0,No
Germany,43.0,57267.0,No
France,32.0,76508.0,No
Germany,42.0,53792.0,No
Germany,46.0,46133.0,No
France,46.0,60333.0,No
France,50.0,46194.0,No
Germany,45.0,74588.0,No
Spain,,37582.0,No
Spain,49.0,69173.0,No
Germany,38.0,34028.0,No
Germany,29.0,47420.0,No
Germany,36.0,77453.0,No
Germany,31.0,56824.0,No
Spain,31.0,42761.0,No
France,37.0,57525.0,No
Germany,30.0,52284.0,No
Spain,35.0,62100.0,No
Spain,19.0,25755.0,No
Germany,40.0,68230.0,No
France,38.0,26758.0,No
Spain,30.0,44288.0,No
France,45.0,59274.0,No
Spain,47.0,75238.0,No
France,22.0,45004.0,No
France,30.0,35469.0,No
France,30.0,40458.0,No
Spain,29.0,53125.0,No
Germany,46.0,65716.0,No
Spain,36.0,50506.0,No
Germany,35.0,51049.0,No
Spain,18.0,49554.0,No
France,44.0,58706.0,No
Germany,26.0,46990.0,No
France,39.0,85779.0,Yes
Germany,41.0,44612.0,No
France,52.0,49224.0,No
Germany,25.0,56824.0,No
France,18.0,33056.0,No
Germany,40.0,57036.0,No
Spain,56.0,66031.0,No
Germany,50.0,67233.0,Yes
France,40.0,80269.0,No
Spain,33.0,,No
Germany,46.0,76811.0,No
Spain,28.0,33443.0,No
Spain,43.0,49673.0,No
Germany,43.0,29680.0,No
Spain,49.0,59029.0,No
Spain,65.0,94980.0,No
Spain,42.0,68935.0,No
Germany,33.0,51961.0,No
France,38.0,58702.0,No
France,20.0,35012.0,No
Germany,31.0,55405.0,No
Germany,34.0,64707.0,No
Spain,33.0,35093.0,No
Spain,40.0,64167.0,No
France,30.0,62987.0,No
France,49.0,64308.0,No
Spain,,67610.0,No
Spain,38.0,92892.0,No
Spain,35.0,54997.0,No
France,40.0,65316.0,No
Germany,46.0,57769.0,No
Germany,29.0,53571.0,No
Germany,31.0,58800.0,No
Spain,35.0,58805.0,No
France,25.0,34851.0,No
Germany,,54303.0,No
Germany,33.0,72460.0,No
France,47.0,72453.0,No
Germany,41.0,73107.0,No
Germany,40.0,58098.0,No
Germany,47.0,75857.0,No
Germany,37.0,61315.0,No
Spain,42.0,51303.0,No
Spain,37.0,62093.0,No
Germany,41.0,49688.0,No
Germany,32.0,46361.0,No
France,18.0,43472.0,No
France,37.0,61558.0,No
Spain,52.0,57734.0,No
Germany,47.0,80184.0,No
Germany,48.0,74753.0,Yes
France,50.0,61868.0,No
Spain,39.0,41547.0,No
Spain,40.0,59237.0,No
Germany,32.0,,No
Germany,35.0,57713.0,No
Germany,44.0,60385.0,No
Spain,50.0,45945.0,Yes
Spain,37.0,53285.0,No
France,33.0,51481.0,No
France,38.0,66809.0,No
Germany,44.0,56232.0,No
Germany,24.0,66349.0,Yes
Germany,18.0,20000.0,No
Germany,32.0,69979.0,No
Spain,26.0,45522.0,No
Germany,33.0,64942.0,No
Germany,37.0,58828.0,No
Germany,33.0,68795.0,No
France,53.0,67624.0,No
Spain,41.0,48957.0,Yes
France,41.0,78950.0,No
Germany,44.0,63438.0,No
Spain,27.0,51609.0,No
France,48.0,83369.0,No
Germany,37.0,46135.0,No
Spain,45.0,72380.0,No
Spain,27.0,42475.0,No
France,22.0,43630.0,No
Germany,46.0,67428.0,No
Spain,42.0,44585.0,No
Germany,29.0,41735.0,No
Spain,29.0,67586.0,No
Germany,49.0,79963.0,No
Spain,26.0,47744.0,No
Spain,54.0,76902.0,Yes
Germany,29.0,47564.0,No
Spain,44.0,81225.0,No
France,,53838.0,No
France,44.0,67411.0,No
Germany,33.0,68055.0,No
Spain,36.0,48406.0,No
Germany,38.0,78274.0,No
France,28.0,31815.0,No
France,45.0,85423.0,No
France,33.0,50109.0,No
Spain,36.0,,No
Spain,28.0,27571.0,No
Spain,18.0,35742.0,No
Spain,36.0,45003.0,No
Germany,62.0,73622.0,No
Spain,46.0,64614.0,No
Spain,38.0,,No
Germany,35.0,59325.0,No
Spain,38.0,63094.0,No
Spain,43.0,,No
Germany,26.0,38004.0,No
Germany,49.0,90814.0,No
France,45.0,56816.0,No
Germany,45.0,85538.0,No
Spain,42.0,60230.0,No
France,38.0,59404.0,No
Spain,45.0,78100.0,No
Germany,44.0,79789.0,No
Spain,34.0,54684.0,No
France,32.0,49379.0,No
Spain,39.0,59446.0,No
France,53.0,77197.0,No
France,26.0,58744.0,No
France,23.0,46043.0,No
France,40.0,68109.0,No
France,39.0,79318.0,No
France,40.0,65336.0,No
Spain,40.0,65135.0,Yes
France,36.0,38964.0,No
Spain,,41040.0,No
Germany,22.0,49452.0,No
Spain,,50606.0,No
Spain,37.0,52093.0,No
France,22.0,47334.0,No
France,36.0,56892.0,No
France,55.0,87687.0,No
France,38.0,60421.0,No
France,40.0,52313.0,No
France,25.0,59741.0,No
France,32.0,51047.0,No
France,34.0,,No
Spain,35.0,50612.0,No
France,51.0,62937.0,Yes
Spain,44.0,65229.0,No
Spain,27.0,49351.0,No
Germany,40.0,67176.0,No
France,43.0,60460.0,No
Germany,49.0,47425.0,No
Spain,54.0,68232.0,No
France,28.0,59590.0,No
Germany,30.0,48334.0,No
Germany,25.0,44925.0,No
France,36.0,68930.0,Yes
France,43.0,54854.0,No
Germany,48.0,49572.0,No
Germany,,56589.0,No
France,35.0,50511.0,No
France,40.0,48971.0,No
Spain,30.0,49579.0,No
Spain,59.0,83904.0,No
Spain,22.0,44620.0,No
Spain,40.0,,No
Spain,58.0,99173.0,No
Germany,38.0,55147.0,No
France,36.0,60830.0,No
France,34.0,49872.0,No
Germany,36.0,,No
Germany,52.0,64537.0,No
Spain,18.0,35455.0,No
Spain,53.0,77315.0,No
France,24.0,74573.0,No
Spain,35.0,48208.0,No
Spain,34.0,50337.0,No
France,,63740.0,No
France,22.0,49566.0,No
Spain,43.0,66522.0,No
France,58.0,92828.0,Yes
France,24.0,20000.0,No
France,40.0,32264.0,No
France,31.0,47292.0,No
France,42.0,76201.0,No
Germany,38.0,40585.0,No
Spain,32.0,20000.0,No
Germany,43.0,70445.0,No
Germany,56.0,78363.0,No
Spain,36.0,44399.0,No
France,45.0,53851.0,No
Spain,25.0,35924.0,No
Spain,28.0,51918.0,No
Germany,43.0,55936.0,No
Spain,53.0,78486.0,No
France,42.0,28145.0,No
France,35.0,46100.0,No
Spain,38.0,45681.0,No
Spain,25.0,44870.0,No
Spain,44.0,58184.0,No
Spain,47.0,76715.0,Yes
Germany,33.0,32819.0,No
Spain,,55516.0,No
France,41.0,68293.0,No
France,34.0,77549.0,No
France,37.0,52824.0,No
France,59.0,81991.0,Yes
France,36.0,35330.0,No
France,34.0,27271.0,No
France,32.0,63509.0,No
France,45.0,65831.0,No
Germany,36.0,71711.0,No
France,32.0,36875.0,No
Spain,51.0,77331.0,No
Spain,52.0,94402.0,No
Germany,32.0,58833.0,No
France,19.0,45720.0,No
Spain,48.0,68370.0,No
Germany,31.0,34188.0,Yes
Germany,46.0,82583.0,No
Germany,18.0,34139.0,No
France,47.0,73287.0,No
France,26.0,29543.0,No
Spain,45.0,51623.0,No
Germany,38.0,76550.0,No
Spain,28.0,46447.0,No
Spain,34.0,72976.0,No
France,45.0,64438.0,No
Germany,39.0,38050.0,Yes
France,44.0,75165.0,No
France,58.0,69909.0,Yes
Spain,22.0,53506.0,No
Spain,54.0,74057.0,No
France,,41622.0,No
France,29.0,53082.0,No
Spain,25.0,73582.0,No
France,,63414.0,No
Spain,,66805.0,No
France,37.0,70956.0,No
Spain,53.0,75328.0,No
Spain,23.0,48654.0,No
France,38.0,45992.0,No
France,25.0,,No
France,42.0,74898.0,No
France,,57149.0,No
Germany,34.0,72507.0,No
France,18.0,40100.0,No
Germany,40.0,50337.0,No
France,42.0,75102.0,No
Germany,42.0,59397.0,No
Germany,50.0,79436.0,No
Spain,27.0,46059.0,No
Spain,45.0,64604.0,No
Spain,50.0,75855.0,No
Spain,20.0,46683.0,No
Germany,41.0,38130.0,No
Germany,33.0,41207.0,No
Germany,37.0,69619.0,No
France,41.0,60743.0,No
Germany,33.0,48530.0,No
Germany,31.0,36816.0,No
France,38.0,46551.0,No
France,27.0,25153.0,No
Germany,27.0,48212.0,No
Spain,45.0,,No
Germany,27.0,,No
France,45.0,,No
Germany,43.0,67731.0,No
France,21.0,68786.0,No
France,31.0,34959.0,No
France,50.0,83860.0,No
Germany,28.0,62047.0,Yes
Spain,33.0,45671.0,No
Spain,43.0,65797.0,No
Spain,46.0,60759.0,No
Germany,35.0,59164.0,No
Spain,32.0,71932.0,No
Germany,52.0,79269.0,Yes
Spain,55.0,80953.0,No
Spain,48.0,62846.0,Yes
Spain,39.0,42159.0,No
France,30.0,49424.0,No
Germany,30.0,66205.0,No
Spain,43.0,45577.0,No
France,42.0,50305.0,Yes
Germany,,73330.0,No
Spain,45.0,53238.0,No
Spain,23.0,,No
Germany,,63584.0,No
Spain,28.0,33830.0,No
France,34.0,44055.0,No
Germany,41.0,69893.0,Yes
Spain,58.0,61473.0,No
France,65.0,64326.0,Yes
France,44.0,57100.0,No
Germany,36.0,66335.0,No
Spain,43.0,61647.0,Yes
Spain,47.0,61614.0,No
Germany,35.0,56846.0,No
Germany,56.0,54408.0,No
France,40.0,67207.0,No
France,43.0,68281.0,No
France,45.0,60282.0,No
Germany,42.0,75065.0,No
France,46.0,,No
Spain,32.0,67180.0,Yes
Germany,32.0,56029.0,No
Germany,27.0,45260.0,No
Spain,42.0,62917.0,No
Germany,46.0,64923.0,No
France,43.0,77963.0,No
Germany,55.0,61350.0,No
France,38.0,49999.0,No
Spain,45.0,77654.0,No
Germany,27.0,42228.0,No
France,34.0,66522.0,No
France,45.0,85853.0,No
Germany,46.0,62020.0,No
Germany,35.0,64731.0,No
Spain,37.0,44711.0,No
Germany,23.0,54596.0,No
Spain,34.0,58380.0,No
France,47.0,72890.0,No
Spain,44.0,56630.0,No
France,43.0,43773.0,No
Germany,38.0,65687.0,No
Spain,38.0,34503.0,No
Spain,31.0,49449.0,No
Spain,45.0,76784.0,No
Germany,42.0,65292.0,No
France,43.0,87008.0,No
Spain,,66767.0,No
Spain,18.0,33353.0,No
Spain,49.0,69402.0,No
France,33.0,54322.0,No
Germany,29.0,32449.0,No
Germany,45.0,,No
Spain,34.0,48943.0,No
Germany,49.0,44305.0,No
Germany,44.0,65323.0,No
Germany,45.0,62363.0,No
France,24.0,26832.0,No
Spain,50.0,74958.0,No
Spain,41.0,70142.0,No
Spain,34.0,58601.0,No
Germany,39.0,56602.0,Yes
Germany,20.0,50311.0,No
Germany,42.0,71041.0,No
Spain,28.0,53624.0,No
France,24.0,37131.0,No
Germany,23.0,48818.0,No
Germany,49.0,83560.0,No
France,32.0,46377.0,No
Germany,53.0,98179.0,Yes
Germany,33.0,48070.0,No
Spain,21.0,44223.0,No
Spain,27.0,41081.0,No
Spain,50.0,,No
France,36.0,36890.0,Yes
France,33.0,47713.0,No
Germany,40.0,47535.0,No
France,,65340.0,No
France,49.0,81190.0,No
Spain,52.0,,No
Spain,34.0,27502.0,No
Germany,25.0,71770.0,Yes
Spain,34.0,59022.0,No
Spain,41.0,52225.0,Yes
Germany,28.0,52412.0,No
Spain,28.0,52700.0,No
France,41.0,54292.0,No
Spain,38.0,61137.0,No
France,38.0,52206.0,No
France,30.0,47521.0,No
Spain,36.0,48891.0,No
Spain,29.0,33690.0,No
Germany,47.0,68962.0,Yes
Spain,48.0,75541.0,No
Spain,20.0,48763.0,No
Spain,29.0,,No
France,23.0,49623.0,No
Spain,31.0,46957.0,No
France,37.0,68525.0,No
Germany,24.0,29863.0,No
France,29.0,40095.0,No
Spain,28.0,38594.0,No
France,40.0,74026.0,No
Germany,39.0,71138.0,No
Spain,31.0,58552.0,No
Spain,40.0,73655.0,No
France,33.0,43728.0,No
Germany,35.0,60938.0,No
France,55.0,72759.0,No
Germany,51.0,81427.0,No
France,25.0,46121.0,No
France,46.0,62048.0,No
France,,72993.0,No
Spain,27.0,59380.0,No
Spain,46.0,58549.0,No
France,53.0,72308.0,No
Germany,27.0,36396.0,No
Spain,29.0,20966.0,No
Spain,48.0,70764.0,No
Spain,,68950.0,No
Spain,44.0,67308.0,No
Spain,,,No
France,42.0,58506.0,No
France,25.0,20642.0,No
Germany,48.0,85062.0,No
Germany,50.0,56694.0,Yes
Spain,36.0,72200.0,Yes
France,38.0,70159.0,No
Spain,23.0,34613.0,No
Spain,43.0,50235.0,No
France,,68553.0,No
France,37.0,48508.0,No
Germany,49.0,70549.0,No
Spain,35.0,50399.0,No
France,44.0,42908.0,No
France,28.0,23257.0,No
France,38.0,61708.0,No
Germany,36.0,50892.0,No
France,40.0,,No
France,34.0,,No
Germany,37.0,72098.0,No
France,46.0,63364.0,No
Spain,34.0,51182.0,No
France,22.0,50743.0,No
France,55.0,58663.0,No
France,,74311.0,No
Germany,25.0,54192.0,No
Germany,45.0,73570.0,No
Germany,33.0,31432.0,No
Spain,41.0,52435.0,No
Spain,41.0,51309.0,No
France,36.0,58289.0,No
France,30.0,57915.0,No
Germany,31.0,70946.0,No
France,,45015.0,No
France,30.0,45743.0,No
France,37.0,72391.0,No
France,31.0,56317.0,No
France,45.0,80550.0,No
Spain,53.0,76050.0,No
Spain,32.0,40094.0,No
Germany,40.0,45357.0,No
Germany,43.0,45079.0,No
Spain,43.0,71393.0,Yes
France,39.0,74147.0,No
Spain,45.0,88076.0,Yes
Spain,43.0,73658.0,No
France,26.0,62015.0,No
Spain,47.0,60062.0,No
Spain,47.0,53309.0,No
Spain,30.0,62531.0,No
Spain,38.0,64554.0,Yes
France,45.0,66639.0,No
Germany,36.0,61965.0,No
Germany,49.0,72735.0,No
France,62.0,95881.0,No
Germany,30.0,67666.0,No
Spain,24.0,53301.0,No
Germany,41.0,72084.0,No
Germany,45.0,71863.0,Yes
Spain,36.0,51588.0,No
France,53.0,81358.0,No
France,25.0,30419.0,No
Spain,45.0,78083.0,No
Spain,32.0,39413.0,No
France,55.0,78104.0,No
France,58.0,66991.0,No
Germany,30.0,58941.0,No
Germany,33.0,53847.0,No
Spain,47.0,47799.0,No
France,34.0,60764.0,No
France,38.0,51856.0,No
France,38.0,70002.0,No
Germany,19.0,,No
France,38.0,63821.0,No
Spain,31.0,41502.0,No
France,33.0,47690.0,No
Spain,52.0,66689.0,No
Spain,25.0,58172.0,No
Germany,46.0,86647.0,No
France,,47027.0,No
France,35.0,69604.0,No
France,46.0,40277.0,No
Germany,41.0,47930.0,No
Germany,44.0,52830.0,No
Spain,48.0,,No
Spain,35.0,37215.0,No
Spain,32.0,,No
France,27.0,46865.0,No
Germany,30.0,56324.0,No
Spain,65.0,91786.0,No
Spain,50.0,73590.0,Yes
Spain,24.0,54933.0,No
France,25.0,46463.0,No
France,43.0,49293.0,No
Germany,43.0,76819.0,No
France,43.0,57071.0,No
Spain,35.0,45678.0,No
France,,55936.0,No
Spain,41.0,51197.0,No
France,39.0,54964.0,No
Spain,18.0,45329.0,No
Germany,36.0,61312.0,No
France,29.0,40763.0,No
Spain,40.0,54924.0,No
Spain,65.0,96392.0,Yes
Spain,42.0,68464.0,No
Germany,,81279.0,No
Germany,,81658.0,No
France,43.0,77276.0,No
France,42.0,46326.0,No
France,44.0,73828.0,No
Spain,59.0,77072.0,No
France,,42410.0,No
Spain,43.0,65479.0,No
Spain,,62205.0,No
France,44.0,70210.0,No
Germany,29.0,40390.0,No
France,34.0,64353.0,No
France,35.0,48893.0,No
Germany,48.0,70583.0,No
Spain,47.0,63826.0,No
Germany,,45362.0,No
Spain,39.0,68889.0,No
France,31.0,40331.0,No
Germany,25.0,71216.0,No
