CustomerID,Age,Gender,MaritalStatus,Education,Occupation,AnnualIncome,CityTier,FamilySize,CreditScore,PurchaseHistory,AvgPurchaseValue,DaysSinceLastPurchase,WebsiteVisits,AppUsageHours,EmailClicks,AdsClicked,DiscountUsed,LoyaltyMember,CartAbandonRate,ProductRating,CustomerSatisfaction,PaymentMethod,Device,Purchased
100018,20,Female,Married,High School,Employee,55577,3,6,430,30,372.13,246,29,7.0,11,2,0,1,67.47,4.9,1,Debit Card,Mobile,0
100019,39,Female,Single,High School,Business,115168,3,1,817,25,1033.77,179,8,30.9,7,10,0,1,68.43,4.5,3,Net Banking,Desktop,0
100020,70,Male,Married,Post Graduate,Employee,52563,3,5,398,1,1487.17,345,7,37.5,19,3,1,1,0.91,5.0,4,Credit Card,Desktop,1
100021,19,Male,Single,Graduate,Business,140239,2,3,636,28,1214.44,145,27,38.6,16,9,1,0,54.99,1.2,9,Credit Card,Tablet,1
100022,41,Female,Single,Post Graduate,Employee,69798,3,2,731,32,538.89,143,22,26.8,1,8,1,1,68.84,3.8,3,UPI,Mobile,1
100023,61,Female,Single,Post Graduate,Business,92893,1,1,597,31,1497.77,117,16,12.6,11,8,0,1,74.68,2.8,3,Credit Card,Mobile,1
100024,47,Male,Married,Post Graduate,Employee,33709,3,6,654,19,314.45,221,24,22.7,1,8,1,1,72.92,3.4,9,Credit Card,Mobile,1
100025,55,Female,Married,Graduate,Self-Employed,49800,3,5,803,2,418.75,125,19,9.1,14,6,1,0,96.66,3.8,2,Credit Card,Mobile,0
100026,19,Male,Single,High School,Self-Employed,109745,2,3,790,39,843.72,116,30,21.0,19,10,1,0,99.69,3.6,5,Debit Card,Mobile,1
100027,38,Female,Single,Post Graduate,Business,82092,2,3,355,18,432.93,36,23,39.4,19,8,0,0,70.52,1.6,10,Net Banking,Mobile,1
100028,50,Female,Married,High School,Business,29688,2,6,882,38,616.95,155,26,25.7,16,0,0,1,0.15,2.5,1,Credit Card,Mobile,1
100029,29,Male,Single,Graduate,Employee,137708,3,2,536,35,1351.19,207,1,26.9,1,5,1,0,90.97,3.4,10,UPI,Mobile,0
100030,39,Female,Single,Post Graduate,Employee,58243,1,3,317,14,725.57,355,3,10.6,8,10,1,0,68.19,2.5,7,UPI,Tablet,1
100031,61,Male,Single,Graduate,Employee,72733,3,2,380,33,1235.77,294,28,25.8,6,5,1,0,96.23,1.9,8,Credit Card,Mobile,1
100032,42,Male,Single,High School,Self-Employed,110768,1,2,786,11,1144.25,83,9,34.0,20,9,0,0,43.14,3.8,9,Cash,Desktop,1
100033,66,Male,Single,Graduate,Employee,135318,3,5,706,39,1381.56,42,16,25.0,1,4,1,0,67.3,1.1,10,UPI,Mobile,1
100034,44,Male,Single,Post Graduate,Employee,67012,1,1,557,22,898.1,2,9,10.2,18,7,0,0,80.2,4.4,4,Credit Card,Mobile,0
100035,59,Male,Single,Post Graduate,Business,81104,1,5,331,12,1330.97,145,20,32.7,19,9,1,1,75.7,2.4,6,Debit Card,Mobile,1
100036,45,Female,Married,Graduate,Employee,136701,1,5,866,33,861.18,293,6,6.4,10,4,1,0,13.82,2.3,7,Net Banking,Mobile,1
100037,33,Female,Single,Post Graduate,Employee,90608,3,4,442,1,701.8,47,11,38.8,15,1,1,0,68.0,1.5,5,Credit Card,Desktop,0
100038,32,Male,Divorced,High School,Self-Employed,87209,1,4,379,30,636.21,3,11,30.4,6,9,1,1,49.75,1.7,2,Net Banking,Mobile,1
100039,64,Female,Single,High School,Retired,105071,2,6,569,24,789.78,114,5,3.1,8,3,1,1,95.62,1.7,2,Debit Card,Mobile,1
100040,68,Female,Married,Graduate,Student,73485,1,2,603,16,1445.62,32,5,17.5,14,2,1,1,84.1,3.6,5,Debit Card,Mobile,0
100041,61,Female,Married,High School,Business,110849,3,1,657,3,62.21,211,11,20.5,11,10,1,0,53.79,3.1,6,Debit Card,Mobile,1
100042,69,Female,Single,Graduate,Employee,99638,2,3,705,25,788.99,67,2,35.6,3,7,0,1,17.01,1.9,10,Debit Card,Mobile,1
100043,20,Male,Married,High School,Employee,55470,2,1,446,23,1033.61,158,13,37.6,3,10,1,0,85.04,4.6,1,UPI,Mobile,0
100044,54,Male,Married,Graduate,Employee,62054,3,6,334,7,223.25,274,16,39.7,17,8,0,1,64.31,2.0,1,Net Banking,Desktop,0
100045,68,Female,Single,High School,Self-Employed,26818,3,3,600,24,927.18,316,22,28.8,17,2,1,0,80.01,1.5,6,Debit Card,Tablet,0
100046,24,Male,Divorced,High School,Retired,76273,3,6,765,9,1303.38,220,7,26.3,13,1,0,0,8.79,2.9,4,Debit Card,Desktop,1
100047,38,Male,Single,Post Graduate,Employee,117102,2,2,526,25,324.02,305,7,24.3,4,2,0,0,19.68,3.4,1,Cash,Tablet,0
100048,26,Male,Single,High School,Self-Employed,80089,2,1,462,18,1041.7,100,2,8.7,6,0,1,0,56.95,1.2,6,Debit Card,Mobile,0
100049,56,Male,Married,High School,Employee,117194,3,5,850,23,504.0,68,26,19.5,9,4,1,1,31.15,2.5,9,Credit Card,Mobile,1
100050,35,Male,Single,High School,Retired,121783,1,6,460,23,988.23,352,23,23.9,8,10,0,0,66.38,4.3,3,UPI,Desktop,1
100051,21,Male,Married,Post Graduate,Employee,119366,2,4,880,8,1171.39,336,4,35.8,19,4,1,1,98.41,1.7,9,Cash,Mobile,1
100052,42,Male,Married,Graduate,Self-Employed,147034,3,3,497,26,272.64,233,16,9.1,12,0,0,0,24.75,4.5,5,Debit Card,Mobile,1
100053,31,Female,Divorced,Graduate,Employee,137704,2,2,800,27,842.86,113,7,11.7,12,0,0,1,24.47,1.9,2,Net Banking,Mobile,1
100054,67,Female,Married,High School,Retired,102632,2,2,627,37,294.06,84,26,20.1,16,4,0,1,3.57,2.8,10,Cash,Mobile,1
100055,26,Male,Divorced,Graduate,Student,110144,1,5,681,2,109.35,71,24,17.8,11,9,1,1,29.32,4.5,10,Debit Card,Mobile,1
100056,43,Male,Single,High School,Employee,59713,2,2,371,38,1046.21,363,13,20.7,17,6,1,0,70.52,4.3,9,Credit Card,Mobile,0
100057,70,Male,Single,Graduate,Self-Employed,136246,2,1,892,40,901.09,234,24,23.9,19,2,0,1,30.47,4.4,9,Cash,Mobile,1
100058,19,Male,Married,Graduate,Business,45655,2,6,833,5,202.74,355,26,15.3,3,1,1,1,79.02,4.4,5,Net Banking,Desktop,0
100059,37,Male,Married,Post Graduate,Retired,101196,3,4,723,35,800.7,262,11,7.1,3,5,0,1,56.09,3.4,8,Cash,Mobile,0
100060,45,Male,Married,High School,Employee,125205,2,1,832,40,754.6,309,15,27.5,0,10,1,0,14.83,1.0,9,Cash,Mobile,1
100061,64,Female,Married,Post Graduate,Employee,142975,2,1,665,1,1236.04,182,20,30.2,17,3,1,1,91.35,3.6,7,UPI,Desktop,1
100062,24,Female,Single,High School,Business,78772,1,5,445,3,1436.54,272,21,28.6,13,6,1,0,62.21,3.5,3,Debit Card,Desktop,0
100063,61,Male,Married,Graduate,Student,38879,3,5,697,28,376.53,104,21,32.0,1,10,0,0,12.6,4.5,4,UPI,Desktop,1
100064,25,Male,Divorced,High School,Self-Employed,47861,2,3,469,15,661.91,251,6,16.7,20,9,1,0,90.79,3.3,8,Net Banking,Mobile,0
100065,64,Female,Married,Post Graduate,Employee,35745,3,2,659,28,1450.39,195,16,17.9,20,8,1,0,88.37,2.9,6,Credit Card,Mobile,0
100066,52,Female,Single,High School,Self-Employed,103115,1,3,737,8,546.52,35,24,22.1,0,4,1,1,75.83,3.6,6,Credit Card,Mobile,1
100067,31,Female,Married,Graduate,Employee,142120,2,5,826,15,117.5,349,6,20.2,4,1,0,0,49.46,2.3,5,Net Banking,Mobile,0
100068,34,Female,Single,High School,Self-Employed,57849,3,3,558,1,867.69,115,3,19.9,5,7,1,1,18.26,2.0,9,Debit Card,Desktop,0
100069,53,Male,Married,Graduate,Self-Employed,88435,1,4,561,7,403.21,35,6,18.7,4,6,0,0,89.95,1.8,10,Cash,Desktop,0
100070,67,Male,Single,Graduate,Self-Employed,105160,2,1,560,18,744.82,348,19,28.5,13,7,1,1,68.58,4.4,10,Credit Card,Desktop,1
100071,57,Female,Single,High School,Self-Employed,94574,2,5,851,6,184.06,77,9,20.5,2,3,1,1,18.33,4.5,4,Net Banking,Mobile,0
100072,21,Male,Single,Post Graduate,Employee,148234,2,2,398,3,822.92,56,19,2.2,1,7,1,1,3.25,1.2,4,UPI,Desktop,1
100073,19,Female,Single,Post Graduate,Self-Employed,67783,1,5,409,29,272.51,196,11,37.5,8,4,0,1,9.8,1.1,2,UPI,Mobile,1
100074,23,Female,Married,High School,Business,72281,3,5,554,30,1376.84,224,11,16.6,7,10,1,0,93.08,2.2,1,UPI,Mobile,0
100075,59,Female,Single,Graduate,Business,74499,2,1,702,2,85.21,316,27,27.2,11,6,1,1,42.1,4.3,4,Debit Card,Mobile,1
100076,21,Male,Married,Graduate,Business,140276,1,2,819,27,540.74,340,11,29.6,14,4,1,0,91.86,2.8,8,Cash,Desktop,1
100077,46,Female,Married,Post Graduate,Employee,134254,1,3,441,31,345.51,111,3,30.9,11,0,0,1,0.16,4.6,10,Debit Card,Tablet,1
100078,35,Male,Single,Graduate,Self-Employed,125849,2,6,804,27,1314.03,119,19,20.0,2,8,1,1,92.67,2.0,3,Net Banking,Tablet,1
100079,43,Male,Married,High School,Retired,57014,1,6,732,15,1239.09,328,9,31.6,2,5,0,1,10.12,1.7,9,Credit Card,Mobile,1
100080,61,Male,Married,Post Graduate,Employee,123492,1,2,695,17,1424.12,222,21,12.3,19,6,1,0,12.58,3.0,2,Debit Card,Desktop,0
100081,51,Female,Married,High School,Business,66587,2,3,588,35,64.83,71,26,14.8,6,7,0,0,22.55,3.9,3,Credit Card,Mobile,1
100082,27,Female,Married,High School,Employee,52801,3,3,588,4,1348.6,269,2,26.2,5,7,0,1,4.84,4.5,1,Credit Card,Desktop,0
100083,53,Male,Single,Graduate,Employee,123063,3,5,349,36,426.32,340,5,24.0,16,0,0,0,9.92,1.1,3,Debit Card,Desktop,0
100084,31,Male,Married,High School,Employee,59321,2,5,738,5,1268.14,112,25,27.4,7,8,1,1,25.52,4.2,1,Debit Card,Mobile,1
100085,48,Female,Single,High School,Business,46183,1,6,314,2,1145.65,306,26,20.0,19,2,1,1,15.95,1.7,8,Debit Card,Tablet,0
100086,65,Female,Married,Graduate,Employee,103975,3,5,611,31,635.03,201,14,33.7,2,6,0,0,10.98,1.4,8,Cash,Desktop,1
100087,32,Female,Divorced,Post Graduate,Employee,39305,2,1,319,25,736.8,40,21,2.9,19,8,1,0,40.9,1.4,7,Net Banking,Mobile,1
100088,25,Male,Single,High School,Employee,101015,1,6,653,33,1198.2,294,24,11.3,14,7,1,1,15.35,3.8,3,Net Banking,Mobile,1
100089,31,Male,Married,Graduate,Employee,101349,2,5,754,2,654.28,338,20,2.6,1,3,1,1,35.96,3.2,8,Debit Card,Mobile,0
100090,40,Female,Single,High School,Self-Employed,137337,2,3,878,39,771.62,325,2,3.4,20,6,1,1,26.82,1.4,2,Credit Card,Mobile,1
100091,57,Male,Single,Graduate,Employee,27914,1,6,565,29,907.24,238,27,11.8,15,2,1,1,77.47,3.1,10,Credit Card,Desktop,0
100092,38,Female,Married,Graduate,Retired,88897,1,5,380,1,1137.61,27,28,6.9,13,8,1,1,77.87,3.1,3,Debit Card,Mobile,1
100093,33,Female,Married,Graduate,Employee,114899,1,2,739,40,798.44,138,9,7.8,15,1,0,0,51.24,2.1,4,Cash,Mobile,1
100094,62,Male,Single,Post Graduate,Employee,87499,2,4,836,0,546.44,145,26,11.4,16,2,0,0,8.45,4.1,4,Net Banking,Mobile,1
100095,35,Male,Single,Graduate,Employee,55162,3,2,368,20,1000.99,310,17,14.8,20,10,0,0,74.31,4.4,2,Net Banking,Desktop,0
100096,64,Female,Married,Graduate,Retired,149230,1,1,812,6,961.77,143,27,24.8,12,2,0,1,38.88,2.3,7,Cash,Mobile,1
100097,70,Male,Single,Graduate,Employee,28529,1,1,843,18,842.2,251,19,17.3,14,2,1,0,54.11,3.6,3,Cash,Mobile,0
100098,41,Male,Single,Graduate,Employee,130719,2,5,592,33,916.22,324,25,34.1,8,3,1,1,15.22,2.0,2,Debit Card,Tablet,1
100099,43,Female,Married,Graduate,Business,76769,1,1,617,26,602.64,58,8,10.8,8,3,1,0,56.41,1.8,2,Credit Card,Desktop,1
100100,42,Male,Divorced,Post Graduate,Employee,106936,3,3,668,17,580.17,114,23,28.2,9,8,0,0,52.36,1.6,1,Credit Card,Mobile,0
100101,62,Female,Single,Post Graduate,Student,68303,3,3,451,8,1307.95,354,14,25.2,7,6,1,1,38.78,2.7,8,Net Banking,Mobile,0
100102,58,Male,Married,Graduate,Employee,125480,1,6,706,13,1277.61,171,11,9.6,11,5,1,0,59.97,1.4,9,Cash,Mobile,0
100103,46,Female,Single,Post Graduate,Employee,134319,3,2,785,23,581.18,251,11,25.7,7,7,0,1,66.58,2.7,5,Cash,Mobile,1
100104,32,Male,Single,Graduate,Employee,94180,1,6,885,6,1123.69,328,15,31.6,13,7,1,1,98.61,3.8,6,Net Banking,Tablet,0
100105,62,Male,Married,High School,Employee,92306,2,6,303,29,1166.32,194,16,7.0,19,3,0,1,85.52,3.3,7,Net Banking,Mobile,0
100106,18,Female,Divorced,Graduate,Self-Employed,68920,2,3,632,39,1175.77,54,24,25.2,6,6,1,0,1.17,1.1,4,UPI,Mobile,1
100107,42,Female,Single,High School,Retired,63947,1,4,583,4,496.3,88,4,13.8,19,10,1,0,79.37,3.3,3,UPI,Desktop,0
100108,24,Male,Single,Graduate,Self-Employed,100598,3,1,579,9,1225.18,61,23,15.8,5,8,0,1,39.77,1.6,4,Cash,Tablet,0
100109,26,Male,Single,Graduate,Employee,20387,1,1,416,10,872.4,338,25,1.1,1,5,1,1,20.9,4.3,3,Cash,Mobile,1
100110,41,Female,Single,High School,Student,53630,1,6,747,3,1292.56,112,13,35.5,17,4,1,1,31.82,4.2,1,Credit Card,Mobile,1
100111,18,Male,Married,Graduate,Employee,122187,3,4,587,1,164.16,201,14,16.6,5,4,0,0,89.4,4.9,9,Cash,Desktop,0
100112,61,Female,Married,Graduate,Employee,149746,1,6,794,39,725.32,128,30,18.6,0,7,0,1,68.34,3.2,6,Net Banking,Desktop,1
100113,25,Female,Married,High School,Employee,129255,2,2,710,39,1360.35,147,6,4.6,12,0,0,0,62.01,3.8,6,Credit Card,Desktop,0
100114,41,Female,Married,High School,Business,140421,2,3,590,20,1203.48,77,18,27.6,0,10,1,1,19.42,1.2,4,Net Banking,Mobile,1
100115,28,Male,Married,Post Graduate,Business,32654,1,3,468,9,439.8,117,7,27.0,13,8,1,0,3.24,2.0,4,Net Banking,Mobile,1
100116,68,Male,Single,Graduate,Business,84419,2,1,556,29,397.99,334,20,19.4,3,1,1,1,46.19,3.2,1,Net Banking,Tablet,1
100117,34,Female,Married,Post Graduate,Employee,127560,2,2,879,8,72.15,308,24,5.1,0,7,1,1,60.41,2.1,10,Cash,Desktop,1
100118,25,Male,Divorced,Post Graduate,Employee,40240,2,5,523,6,1324.83,80,8,10.3,16,9,1,0,64.82,4.5,8,UPI,Mobile,1
100119,52,Male,Single,Post Graduate,Employee,30364,1,5,411,18,1077.78,357,23,18.4,0,5,1,1,31.5,2.4,7,UPI,Desktop,0
100120,52,Male,Married,Graduate,Business,141796,2,3,304,15,1099.44,321,25,32.8,12,6,1,1,62.25,4.2,1,Net Banking,Tablet,0
100121,50,Male,Married,Graduate,Self-Employed,124722,2,1,348,28,387.29,91,19,7.8,6,8,0,1,18.24,3.8,1,Debit Card,Tablet,1
100122,22,Male,Single,High School,Student,37295,1,3,477,17,823.68,193,25,36.5,0,9,0,1,27.58,1.8,2,Net Banking,Mobile,1
100123,59,Male,Single,Graduate,Employee,103772,1,3,824,13,1085.45,83,26,9.5,16,10,0,1,57.76,1.8,6,Cash,Desktop,1
100124,56,Female,Married,Graduate,Employee,110634,3,2,577,9,645.11,93,1,33.3,6,4,1,0,68.52,3.8,3,Cash,Mobile,1
100125,58,Male,Married,Graduate,Retired,29857,3,4,830,11,171.04,269,22,5.9,13,8,0,0,80.14,2.3,9,Cash,Mobile,0
100126,45,Male,Married,Post Graduate,Employee,119332,3,3,858,34,513.25,83,10,8.5,18,3,1,1,39.82,2.9,7,Debit Card,Tablet,1
100127,24,Male,Single,Graduate,Employee,98306,2,2,507,20,932.6,235,19,4.5,17,6,0,1,33.5,2.2,5,UPI,Mobile,0
100128,26,Female,Married,Graduate,Employee,26390,1,1,737,21,280.36,85,28,38.6,16,0,1,1,50.67,1.5,1,Net Banking,Mobile,1
100129,25,Male,Single,High School,Employee,132959,2,5,881,32,1473.85,23,29,34.8,12,10,0,0,71.3,2.9,1,Credit Card,Desktop,1
100130,29,Female,Single,Graduate,Retired,122398,3,3,380,9,1202.29,26,28,7.7,11,9,1,1,47.83,2.0,8,Cash,Desktop,1
100131,51,Female,Single,Graduate,Employee,34352,1,4,856,15,973.72,253,14,38.8,20,4,1,1,80.73,3.2,2,UPI,Mobile,1
100132,50,Male,Married,Graduate,Employee,142724,1,6,420,17,875.52,221,23,12.3,6,6,1,1,16.65,1.7,7,UPI,Desktop,1
100133,65,Male,Single,Graduate,Employee,28380,2,3,414,21,486.37,113,22,25.8,14,2,1,0,69.52,2.5,9,Debit Card,Mobile,1
100134,40,Male,Single,Graduate,Employee,61046,1,3,685,5,639.84,8,26,10.6,19,6,1,1,83.78,2.4,8,Credit Card,Mobile,1
100135,41,Female,Single,Graduate,Self-Employed,112853,2,2,766,34,903.09,156,14,22.5,10,8,0,0,93.51,3.9,4,Cash,Desktop,0
100136,54,Female,Single,Graduate,Employee,100170,2,6,847,6,432.39,62,8,8.3,18,8,1,1,25.39,3.1,2,Debit Card,Mobile,1
100137,52,Female,Single,Graduate,Employee,147998,1,1,898,25,663.73,111,28,18.4,16,2,1,0,33.07,2.8,5,Cash,Desktop,1
100138,61,Male,Married,High School,Self-Employed,94321,3,1,621,37,449.36,217,29,23.4,19,0,1,1,82.31,4.6,4,Debit Card,Desktop,1
100139,57,Female,Married,High School,Student,122052,1,4,896,9,1367.57,360,2,36.0,14,7,0,0,80.46,4.3,2,Credit Card,Mobile,1
100140,39,Male,Married,Graduate,Self-Employed,114402,1,4,866,40,92.71,317,15,32.8,0,1,1,1,90.36,2.1,9,Credit Card,Tablet,1
100141,44,Male,Married,Post Graduate,Employee,75073,3,4,780,35,874.24,18,23,19.8,3,8,1,1,56.69,1.7,2,Net Banking,Mobile,1
100142,52,Female,Single,High School,Student,122615,2,6,756,9,1374.47,101,17,17.2,0,4,1,1,68.15,2.6,7,UPI,Mobile,1
100143,18,Female,Divorced,Graduate,Employee,24602,2,4,578,15,1167.01,161,29,6.5,17,5,1,0,71.55,2.3,8,Net Banking,Mobile,0
100144,52,Male,Single,Post Graduate,Employee,114401,1,5,335,36,1171.95,67,13,26.5,1,5,1,0,83.6,4.2,10,Cash,Desktop,1
100145,54,Male,Married,High School,Employee,51187,3,4,790,5,118.1,61,9,39.2,20,1,0,0,37.87,2.1,8,Cash,Mobile,1
100146,64,Male,Divorced,High School,Employee,33895,3,2,737,23,1107.48,52,1,34.3,0,9,1,1,23.19,3.5,2,Credit Card,Mobile,1
100147,31,Male,Married,Post Graduate,Self-Employed,48268,1,1,308,17,604.62,174,22,13.1,15,6,1,1,72.91,1.9,10,Net Banking,Mobile,1
100148,20,Male,Single,High School,Employee,58395,3,1,407,11,796.72,63,17,29.0,19,2,1,0,96.18,2.3,10,Debit Card,Mobile,0
100149,18,Female,Single,Graduate,Self-Employed,136458,2,2,787,22,1013.04,213,16,10.2,10,3,0,1,29.88,1.4,6,UPI,Mobile,1
100150,22,Female,Single,Graduate,Business,124347,2,1,858,18,932.97,10,16,20.4,0,4,1,1,67.74,5.0,9,Cash,Mobile,1
100151,43,Female,Married,High School,Student,72153,2,1,751,25,877.26,332,18,20.0,16,0,0,1,23.75,3.3,8,Cash,Desktop,1
100152,31,Female,Married,High School,Employee,116968,2,5,507,24,496.9,72,20,2.7,0,8,0,0,76.84,2.7,6,Cash,Mobile,0
100153,56,Female,Married,Graduate,Employee,23613,2,6,379,27,784.13,190,19,21.2,11,10,0,1,49.11,4.6,5,Net Banking,Tablet,1
100154,44,Female,Single,Graduate,Employee,38235,2,5,687,26,87.44,298,14,4.4,12,7,0,1,2.2,2.1,4,Net Banking,Mobile,1
100155,26,Female,Married,High School,Self-Employed,65237,3,6,603,37,588.63,10,7,7.3,4,1,1,1,44.02,3.4,6,Net Banking,Desktop,1
100156,32,Male,Married,Graduate,Employee,145770,3,6,531,2,725.21,362,28,30.2,19,8,0,1,37.34,2.8,3,Debit Card,Mobile,0
100157,32,Female,Single,Graduate,Employee,79220,3,4,862,38,620.13,299,28,8.4,19,7,1,1,64.14,2.4,8,Net Banking,Mobile,1
100158,43,Female,Single,Graduate,Self-Employed,108499,3,4,388,35,735.97,135,29,6.1,18,0,1,1,57.72,1.9,7,Credit Card,Mobile,1
100159,59,Female,Married,Graduate,Self-Employed,117486,1,3,309,23,472.27,90,9,37.8,2,3,1,0,89.62,2.7,10,Debit Card,Tablet,1
100160,30,Female,Married,High School,Employee,51419,1,5,399,38,1370.82,344,14,27.5,7,8,1,1,39.75,2.5,7,Credit Card,Mobile,1
100161,68,Male,Single,Graduate,Employee,38736,1,2,626,2,1470.46,84,2,5.4,0,5,1,1,23.59,4.9,4,Net Banking,Mobile,1
100162,49,Female,Single,Graduate,Employee,144762,3,2,438,3,448.31,141,9,7.7,17,1,1,1,68.61,3.5,7,Credit Card,Mobile,1
100163,56,Male,Married,Graduate,Employee,117899,2,3,589,4,1104.59,26,6,32.6,17,4,1,0,14.41,2.2,9,UPI,Mobile,1
100164,66,Female,Single,Graduate,Employee,82892,1,5,309,16,1352.79,248,22,7.3,15,7,1,0,97.84,4.0,5,UPI,Mobile,0
100165,69,Male,Single,Graduate,Self-Employed,93561,3,5,623,7,510.83,207,9,28.0,5,8,0,0,24.36,4.9,2,Debit Card,Mobile,0
100166,49,Male,Married,Graduate,Employee,137812,2,2,691,8,739.43,230,4,2.5,10,1,0,1,37.02,3.7,1,Cash,Tablet,0
100167,21,Male,Married,Graduate,Self-Employed,47059,2,5,572,9,195.65,142,20,25.6,20,9,1,0,51.14,1.6,5,Cash,Mobile,1
100168,47,Female,Married,Post Graduate,Employee,116447,2,4,668,36,1234.12,284,22,5.6,6,9,1,1,80.24,4.8,10,Credit Card,Mobile,1
100169,54,Male,Married,Post Graduate,Employee,146677,1,5,588,9,1268.07,337,20,15.5,20,2,1,1,80.57,4.7,9,Cash,Desktop,0
100170,40,Female,Married,Graduate,Employee,110405,2,5,548,27,378.95,159,9,26.6,15,4,1,1,27.95,2.8,8,Debit Card,Mobile,1
100171,56,Male,Married,Graduate,Employee,132454,2,6,745,38,527.97,175,3,30.3,10,2,1,1,10.39,4.2,9,Debit Card,Mobile,1
100172,62,Female,Divorced,Post Graduate,Business,52771,2,2,561,9,714.6,156,16,15.7,17,5,1,1,78.62,3.8,1,Cash,Desktop,0
100173,32,Female,Single,High School,Employee,127824,3,5,487,36,1364.96,302,21,22.5,11,9,0,1,96.94,3.8,6,Debit Card,Mobile,1
100174,60,Male,Single,Graduate,Employee,149474,2,1,448,23,1421.81,80,27,32.9,17,8,1,1,38.72,4.3,1,UPI,Tablet,1
100175,46,Male,Single,Graduate,Student,44728,2,5,628,23,611.51,276,18,4.4,2,1,0,1,88.67,4.7,6,Credit Card,Mobile,0
100176,53,Female,Married,Post Graduate,Self-Employed,23668,2,2,872,40,510.64,27,1,22.0,19,9,0,0,54.92,3.8,6,Debit Card,Tablet,1
100177,30,Female,Married,Post Graduate,Self-Employed,74335,1,1,572,12,41.47,236,12,5.0,8,8,1,0,14.49,3.0,7,Net Banking,Tablet,1
100178,49,Female,Single,Post Graduate,Self-Employed,112786,1,4,531,31,761.82,16,10,26.4,9,5,1,1,17.48,4.2,8,UPI,Mobile,1
100179,24,Male,Single,Graduate,Student,58935,2,1,435,38,1338.71,275,2,26.2,14,0,0,1,83.29,1.4,3,UPI,Tablet,0
100180,68,Male,Single,Graduate,Employee,82528,2,5,750,14,1025.52,79,22,1.9,6,5,0,0,79.05,3.4,10,Credit Card,Desktop,0
100181,39,Female,Single,Graduate,Employee,63059,3,5,435,33,370.63,180,23,19.5,5,3,1,1,32.11,3.1,3,Debit Card,Mobile,1
100182,45,Male,Divorced,Post Graduate,Business,95954,2,3,388,7,188.02,348,23,11.5,4,2,1,1,62.74,5.0,9,Net Banking,Mobile,0
100183,19,Male,Married,Graduate,Retired,123665,3,4,685,38,571.46,197,22,38.8,5,9,0,1,11.13,2.8,10,Credit Card,Mobile,1
100184,59,Male,Single,Post Graduate,Employee,102801,3,2,398,1,1103.04,162,7,21.3,6,2,1,1,89.69,4.6,9,Debit Card,Mobile,0
